CASEID;WEIGHT;TM_START;TM_FINISH;DURATION;Q1;Q1_TEXT;Q2;Q3;Q4;Q5;Q6;Q7;Q8_1;Q8_2;Q8_3;Q9_1;Q9_2;Q9_3;Q9_4;Q9_5;Q9_6;Q10_1;Q10_2;Q11_1;Q11_3;Q11_4;Q11_6;Q12_1;Q12_2;Q12_3;Q12_4;Q12_5;Q12_6;Q12_7;Q13_1;Q13_2;Q13_3;Q13_4;Q13_5;Q13_6;Q13_7;Q13_8;Q13_9;Q13_10;Q14_1;Q14_2;Q14_3;Q14_4;Q15_1;Q15_2;Q15_3;Q15_4;Q15_5;Q15_6;Q16;Q17;Q18_1;Q18_2;Q18_3;Q18_4;Q19_1;Q19_2;Q19_3;Q19_4;Q19_5;Q20_1;Q20_2;Q20_3;Q20_4;Q20_5;Q21_1;Q21_2;Q21_3;Q21_4;Q21_5;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q22_14;Q22_15;Q22_16;Q22_17;Q22_18;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q24_1;Q24_2;Q24_3;Q24_4;Q24_5;Q24_6;Q24_7;Q24_8;Q24_9;Q24_10;Q24_11;Q24_12;Q24_13;Q24_15;Q24_16;Q25_1;Q25_2;Q25_3;Q25_4;Q25_5;Q25_6;Q25_7;Q25_8;Q25_9;Q25_10;Q25_11;Q25_12;Q25_13;Q25_14;Q25_15;Q25_16;Q25_17;Q25_18;Q26_1;Q26_2;Q26_3;Q26_4;Q26_5;Q26_6;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q28_1;Q28_2;Q28_4;Q28_5;Q28_6;Q28_8;Q28_9;Q28_10;Q28_11;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q30_1;Q30_2;Q30_3;Q30_4;Q30_5;Q30_6;Q30_7;Q30_8;Q30_9;Q30_10;Q30_11;Q30_12;Q30_13;Q30_14;Q30_15;Q30_16;Q30_17;Q31_1;Q31_2;Q31_3;Q31_4;Q31_5;Q31_6;Q32_1;Q32_2;Q32_3;Q32_4;Q32_5;Q32_6;Q32_7;Q32_8;Q32_9;Q32_10;Q33_1;Q33_2;Q33_3;Q33_4;Q34_1;Q34_2;Q34_3;Q35_1;Q35_2;Q35_3;Q36_1;Q36_2;Q36_3;Q36_4;Q36_5;Q36_6;Q36_7;Q36_8;Q37_1;Q37_2;Q37_3;Q37_4;Q38_1;Q38_2;Q38_3;Q38_4;Q38_5;Q38_6;Q38_7;Q39;Q40_1;Q40_2;Q40_3;Q40_4;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
976;0,7298;5/9/2016 13:00:50;5/9/2016 13:26:06;25;2;;3;2;4;1;4;4;-1;-1;1;1;1;2;2;3;3;3;1;1;2;1;2;6;1;1;1;5;6;6;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;3;3;3;3;4;1;2;4;4;4;4;1;3;4;2;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;4;1;2;3;4;4;4;1;2;3;4;4;2;2;3;4;1;-1;3;4;4;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;2;4;2;3;4;4;2;4;4;2;1;1;2;2;1;5;1;2;5;3;3;2;3;3;4;1;1;1;1;1;1;1;2;4;1;1;1;1;3;1;1;1;3;3;2;2;3;3;1;1;1;1;1;1;4;2;1;1;2;1;1;1;1;2;1;2;1;2;3;2;1;1;1;1;2;4;2;2;2;2;2;2;4;4;1;4;4;1;1;1;1;1;71;6;4;9;2;1;1;0;1;1;6;1;0;2;3;1;32;0;0;0;0;1;7;1;2;2;1;1;1;2
977;1,1328;5/9/2016 13:12:00;5/9/2016 13:32:38;20;10;;1;1;4;3;6;6;2;3;2;1;1;2;2;1;2;1;2;2;2;2;1;4;4;6;3;3;2;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;4;3;3;4;2;3;2;3;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;3;2;2;4;4;3;4;4;3;4;3;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;3;4;4;4;3;3;3;3;3;2;3;4;3;2;2;5;5;5;5;5;5;5;5;4;2;2;2;2;2;2;5;2;5;3;4;4;4;5;5;3;3;1;4;4;4;1;1;2;2;2;2;3;2;3;3;3;3;2;3;3;3;3;3;4;4;1;4;5;5;5;5;5;5;4;4;4;4;4;4;4;4;2;2;2;2;2;2;3;3;3;3;3;1;1;2;1;1;40;3;2;13;4;1;2;1;4;1;16;1;1;1;2;1;23;0;1;1;0;2;1;1;1;4;2;1;1;5
978;0,7896;5/9/2016 13:13:05;5/9/2016 13:33:54;20;10;;1;1;4;4;3;4;3;3;2;1;2;2;2;1;2;2;1;1;2;1;2;3;1;1;1;6;6;6;3;4;3;4;4;3;4;4;4;4;4;4;4;4;3;3;3;2;2;4;2;1;3;3;4;3;2;3;3;2;3;4;3;4;4;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;4;4;3;2;4;4;3;4;4;4;4;4;1;4;3;4;4;4;4;3;3;3;4;3;4;3;3;3;3;4;4;4;4;4;4;4;1;1;2;4;2;3;4;4;4;3;3;2;1;1;2;1;1;1;1;2;4;2;2;2;3;3;2;3;1;2;1;1;2;1;1;2;1;2;1;1;2;1;1;1;3;3;3;3;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;4;4;4;4;4;4;2;1;1;1;2;1;3;1;2;2;1;2;2;2;4;4;1;4;4;1;1;1;1;1;59;5;3;9;2;1;2;1;2;1;12;1;1;1;2;1;21;0;0;0;0;2;1;1;1;2;2;1;1;5
979;1,216;5/9/2016 13:20:33;5/9/2016 13:38:27;17;10;;1;1;5;6;2;4;3;3;2;1;2;2;2;2;2;1;1;1;1;1;1;6;6;6;5;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;1;1;1;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;2;3;3;2;;;;;21;1;1;10;3;1;2;1;2;2;6;5;1;3;5;2;59;0;0;0;0;2;1;0;1;3;2;5;1;5
980;2,1496;5/9/2016 13:26:05;5/9/2016 13:52:30;26;3;;2;4;2;1;4;4;1;1;1;1;1;2;2;1;2;1;2;1;2;7;1;6;2;2;2;6;6;1;1;1;1;4;3;3;2;3;3;4;2;1;1;1;3;3;4;4;3;4;2;2;1;1;1;1;3;3;3;3;3;2;4;4;4;1;3;3;4;4;4;2;2;2;3;4;3;4;4;1;1;1;1;1;3;2;3;4;1;2;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;2;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;2;2;2;2;4;2;2;2;2;3;3;1;1;3;2;2;2;3;3;2;2;3;2;3;2;4;5;3;3;4;5;5;4;2;4;2;2;2;2;4;2;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;4;4;2;4;6;6;6;4;4;2;3;3;3;3;3;3;3;3;2;2;1;2;2;2;3;3;2;2;2;1;1;1;3;1;28;2;1;9;2;4;1;1;3;1;13;1;1;3;7;2;74;0;1;0;0;2;1;1;3;2;1;1;4;3
982;0,7822;5/9/2016 13:47:51;5/9/2016 14:10:59;23;2;;3;2;3;1;4;4;2;2;2;1;2;2;2;2;2;6;2;2;7;6;1;2;2;6;2;6;3;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;1;1;4;4;4;3;2;3;3;2;2;4;4;4;3;3;4;4;3;4;4;3;4;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;3;3;3;3;4;3;3;4;3;3;2;2;2;3;2;3;3;3;3;3;2;2;4;4;4;4;2;4;4;2;3;1;2;2;2;3;3;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;2;3;3;3;3;2;2;3;2;3;3;2;3;3;3;3;4;4;2;4;2;2;2;2;2;2;3;2;2;3;2;2;2;3;1;2;1;2;2;2;3;2;2;3;3;2;;;;;64;5;4;12;4;2;1;1;1;1;12;5;1;2;3;1;34;0;0;0;0;1;5;1;2;4;1;5;2;2
983;1,4485;5/9/2016 13:53:43;5/9/2016 14:22:54;29;3;;2;3;3;1;2;4;3;3;2;2;2;2;2;3;3;4;4;1;7;3;1;4;2;3;2;6;4;6;4;4;3;4;4;3;4;4;3;4;3;3;3;3;4;4;4;4;4;4;2;2;2;4;2;3;3;3;3;2;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;4;4;4;4;3;4;4;4;3;3;4;3;2;3;3;2;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;5;5;3;2;3;2;5;5;2;2;3;2;3;2;3;4;3;3;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;2;3;2;3;3;3;3;2;3;3;3;3;3;3;4;2;2;3;6;4;6;3;3;3;3;2;2;3;2;3;3;2;2;2;2;2;2;2;3;3;3;3;3;1;1;2;1;1;42;3;2;13;4;1;2;0;3;1;12;1;0;4;8;3;84;0;0;1;0;2;2;1;2;4;2;1;1;3
984;1,0377;5/9/2016 13:54:37;5/9/2016 14:56:34;61;10;;1;1;5;6;4;4;3;3;3;1;2;2;2;2;2;2;2;1;1;1;1;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;3;3;3;3;3;3;2;3;1;4;3;4;3;3;4;4;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;2;3;2;3;2;4;3;3;3;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;4;2;3;3;3;3;3;3;3;2;5;4;2;5;2;2;2;4;2;3;3;3;4;3;4;2;4;4;2;3;3;4;4;3;4;2;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;3;3;3;3;2;3;3;3;2;2;2;2;2;2;2;3;3;3;3;1;1;1;1;1;39;3;2;12;4;1;1;1;3;1;16;1;1;3;5;1;54;1;0;0;0;2;1;1;1;4;1;1;1;5
985;0,7932;5/9/2016 13:55:49;5/9/2016 14:34:35;38;1;;1;1;4;5;7;3;1;1;1;1;1;1;2;2;2;3;4;1;7;3;1;6;2;3;1;6;6;3;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;2;2;3;3;4;4;2;3;4;2;3;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;3;3;1;4;4;2;1;4;2;3;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;2;2;4;1;4;4;4;4;2;2;2;5;2;3;5;5;5;5;2;2;2;3;2;2;2;1;1;1;2;1;1;2;2;1;1;1;2;1;1;1;1;1;2;4;4;4;4;1;4;4;4;3;2;4;4;4;4;4;4;3;4;3;3;3;5;3;3;4;4;3;4;4;3;3;1;2;2;2;2;1;1;4;4;4;4;4;1;1;1;1;1;51;4;3;11;3;1;1;1;2;2;16;6;1;1;2;1;23;0;0;0;0;2;4;1;1;3;1;6;1;1
986;0,8152;5/9/2016 13:55:52;5/9/2016 14:19:48;23;2;;3;1;5;1;4;6;2;2;2;1;2;2;2;2;2;4;1;1;2;2;2;5;1;1;1;5;6;6;4;4;4;3;3;3;3;3;4;4;3;1;4;1;2;2;2;2;4;3;2;2;3;4;3;3;2;3;2;2;2;4;4;4;3;3;4;4;3;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;2;2;2;2;2;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;4;3;3;3;4;3;3;3;3;3;4;4;4;4;3;2;2;2;2;2;2;4;4;4;4;4;4;4;4;2;4;4;2;4;4;3;3;2;2;2;2;3;2;2;3;3;3;1;2;3;2;2;2;2;2;2;2;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;2;2;3;2;3;3;3;3;3;3;2;2;2;2;1;2;3;2;2;2;2;1;1;1;1;1;73;6;4;8;1;1;1;1;2;1;14;1;1;2;3;1;33;0;0;0;0;2;1;1;1;1;1;1;1;2
987;1,2606;5/9/2016 14:03:26;5/9/2016 14:26:16;22;1;;3;7;1;1;2;2;3;3;2;2;2;2;2;1;1;3;1;1;3;2;1;5;5;4;4;3;5;4;3;3;3;3;4;3;4;4;4;4;3;3;3;2;4;3;4;4;2;3;1;1;1;1;2;3;2;2;2;2;2;4;4;4;3;3;3;3;4;3;3;4;2;3;2;4;2;4;2;2;2;1;3;2;2;3;4;2;2;2;3;2;2;2;4;4;3;2;4;4;3;4;4;4;3;4;4;4;3;4;4;3;4;3;4;4;4;4;2;4;3;4;4;2;2;4;2;2;2;3;1;3;1;3;2;2;3;3;4;3;4;2;4;2;5;3;3;3;3;2;3;3;3;4;1;4;2;1;3;2;3;4;3;2;1;2;5;2;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;6;4;6;2;2;2;3;2;2;2;2;2;1;2;2;1;2;2;2;2;2;3;3;3;3;1;1;2;2;1;29;2;1;10;3;1;1;1;3;1;12;1;1;3;7;1;72;0;1;0;0;2;1;1;5;3;1;1;1;1
988;0,6728;5/9/2016 14:08:06;5/13/2016 21:04:53;6176;2;;3;7;2;1;2;4;3;3;2;1;2;2;2;3;2;3;1;1;1;1;3;1;6;1;3;1;6;6;4;4;4;4;4;4;3;4;3;4;4;3;4;3;4;4;4;4;4;4;2;-1;3;4;3;4;2;3;3;2;3;4;2;4;3;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;4;3;3;4;3;3;3;2;4;2;2;2;4;4;4;4;4;4;4;4;4;4;3;3;2;4;3;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;1;2;4;2;3;2;3;2;3;3;3;4;4;4;2;2;2;5;5;2;2;3;2;3;2;2;4;3;4;3;3;3;2;3;4;3;3;2;2;4;3;1;1;3;2;3;2;3;3;3;2;2;3;1;2;3;3;2;2;4;1;1;1;4;3;3;2;1;1;-1;2;2;2;3;2;2;2;1;2;1;2;2;2;3;3;2;2;3;2;;;;;83;7;4;11;3;1;1;1;1;1;11;2;1;2;3;1;32;0;0;0;0;1;5;1;5;3;1;2;1;2
989;1,0664;5/9/2016 14:08:37;5/9/2016 14:22:43;14;2;;3;3;2;1;5;6;2;2;1;2;2;2;2;1;1;1;3;1;4;2;1;1;3;2;1;3;4;6;4;4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;2;3;2;2;2;2;3;4;4;4;2;3;3;2;1;4;4;4;4;4;4;4;4;4;3;3;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;1;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;3;4;3;4;2;1;2;4;2;4;2;4;4;4;5;5;4;4;4;2;5;4;2;2;3;2;2;2;2;4;3;4;4;4;4;3;4;4;3;4;3;4;5;5;3;3;2;3;3;3;3;3;2;2;3;4;2;1;2;4;2;3;4;4;3;4;4;3;3;3;3;3;3;2;3;3;4;4;4;4;2;2;2;2;2;2;3;3;2;2;3;1;1;1;1;1;52;4;3;10;3;2;1;0;5;1;17;1;1;3;5;1;59;0;0;1;2;2;1;1;2;3;1;1;2;2
990;0,6284;5/9/2016 14:15:27;5/9/2016 14:35:53;20;2;;2;2;3;2;2;2;2;2;1;1;2;2;2;1;2;2;3;2;1;2;1;5;4;4;2;6;4;3;1;2;1;3;3;3;3;3;3;4;3;3;4;3;2;3;2;3;4;3;2;2;1;4;3;4;2;3;4;2;2;4;4;4;4;3;4;4;3;3;2;4;4;4;4;4;4;4;4;3;4;3;4;3;3;3;3;3;2;2;3;3;2;2;4;4;4;4;4;4;4;2;3;2;2;2;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;4;4;3;3;4;2;1;1;2;1;2;2;4;4;4;4;1;2;2;3;1;3;2;2;3;4;2;2;2;2;2;2;4;2;3;2;3;3;3;4;5;4;2;1;2;4;2;1;1;3;3;4;3;4;4;1;1;2;1;1;1;2;2;2;3;4;1;1;1;6;5;6;3;3;3;2;2;2;3;2;2;2;2;1;2;1;1;1;1;4;2;1;4;4;1;1;1;1;1;37;3;2;10;3;1;1;1;1;1;13;3;0;1;2;1;23;0;0;0;0;1;2;1;2;3;1;3;1;2
991;0,8718;5/9/2016 14:17:41;5/9/2016 15:11:42;54;2;;3;7;1;-1;4;5;-1;-1;1;1;1;2;2;1;2;3;1;2;1;2;2;1;4;5;1;5;6;6;3;3;3;1;3;3;4;4;4;4;3;3;4;4;2;2;2;2;1;2;2;1;3;4;3;3;2;2;3;2;3;4;2;4;3;3;3;3;3;2;3;3;2;2;3;3;3;4;3;-1;2;3;3;3;2;3;2;2;2;2;2;3;3;3;3;3;3;2;3;4;2;3;3;4;2;4;4;4;3;3;3;3;4;3;4;3;4;-1;3;3;3;3;4;2;2;4;2;2;2;2;2;3;1;3;1;-1;-1;-1;5;5;5;2;5;1;1;5;1;2;2;2;2;2;-1;5;1;4;1;1;1;1;4;5;1;2;1;1;2;1;1;1;3;3;3;3;3;3;3;2;-1;-1;-1;3;3;3;3;-1;3;4;3;4;6;3;6;4;4;6;4;3;1;3;2;2;3;2;1;2;2;1;1;1;4;4;1;1;1;2;;;;;74;6;4;9;2;1;2;1;2;1;17;2;1;1;2;1;23;0;0;0;0;2;5;1;5;2;2;2;1;2
993;0,9177;5/9/2016 14:41:37;5/9/2016 14:58:39;17;10;;2;1;4;5;6;6;2;3;1;1;2;2;2;1;2;3;2;1;4;4;3;6;6;6;6;6;4;6;4;4;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;4;3;2;2;2;3;4;2;2;3;3;3;2;4;3;4;3;3;4;4;3;3;3;3;4;3;3;2;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;3;3;3;3;3;4;2;4;4;4;3;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;3;3;3;4;3;3;4;4;3;3;3;3;3;3;2;3;4;3;2;2;5;5;5;2;3;3;2;5;3;2;3;2;2;2;2;5;4;4;4;4;3;4;3;4;3;3;1;1;3;3;1;1;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;4;4;3;3;5;4;4;4;4;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;2;1;1;3;3;1;34;2;2;10;3;1;1;1;4;1;17;1;1;2;3;1;34;0;2;0;0;2;1;1;1;3;1;1;1;5
994;1,3969;5/9/2016 14:45:05;5/9/2016 15:13:34;28;3;;3;2;1;1;4;2;3;3;2;2;2;2;2;2;2;2;3;1;1;1;1;5;6;6;3;5;5;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;2;2;3;3;3;3;2;3;2;3;3;4;3;3;3;3;4;4;4;4;4;3;3;2;3;3;3;3;3;3;3;3;3;3;3;4;3;-1;2;2;3;2;2;2;4;4;4;3;3;3;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;2;2;3;2;2;3;3;2;3;3;3;3;3;3;3;3;2;3;3;2;2;2;2;3;2;2;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;5;3;4;5;3;3;2;3;3;2;2;3;3;2;2;2;2;3;3;3;2;3;2;3;1;1;1;2;1;25;2;1;9;2;1;2;0;1;1;11;6;1;3;7;1;73;0;0;0;0;1;1;0;2;2;2;6;1;3
995;0,9864;5/9/2016 14:46:42;5/9/2016 15:08:20;21;9;United Universalist;3;7;4;4;6;7;3;3;2;1;2;1;2;1;1;1;3;2;4;2;2;3;4;4;3;4;3;2;2;2;2;3;3;2;2;3;2;4;3;2;4;2;2;2;2;2;2;2;1;1;1;1;1;1;2;3;2;3;2;2;1;2;2;2;3;4;3;2;2;3;2;2;2;2;3;4;1;1;1;1;1;1;1;4;4;2;1;3;1;2;4;4;2;3;1;3;4;4;3;3;1;4;2;3;4;4;3;3;3;2;2;1;1;1;1;1;2;2;3;2;3;2;3;3;2;2;2;3;2;3;2;3;4;2;2;3;5;5;2;2;5;3;3;3;4;2;2;2;2;2;2;5;3;4;3;2;2;2;2;5;2;4;1;3;4;3;1;1;2;2;2;2;2;3;1;1;2;4;2;2;3;2;2;2;2;4;2;3;3;2;2;5;4;4;4;3;3;3;4;4;4;4;2;2;2;2;2;2;3;2;2;2;3;1;1;1;1;1;23;1;1;10;3;1;2;1;3;1;12;5;1;2;3;2;31;0;0;0;0;3;1;1;5;3;2;5;1;4
996;0,8881;5/9/2016 14:56:35;5/13/2016 13:06:07;5649;3;;4;8;1;1;4;2;2;2;2;1;1;2;2;1;2;4;4;4;4;2;2;3;2;6;2;6;6;5;3;3;3;3;3;3;3;3;3;3;2;2;2;2;3;2;3;3;3;3;2;2;3;4;3;3;3;3;3;2;2;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;2;3;3;2;2;2;2;2;1;3;2;2;1;3;3;2;2;2;4;3;2;2;4;2;2;2;4;4;2;2;2;2;2;4;2;4;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;-1;1;2;2;2;3;3;3;2;3;2;3;3;3;2;3;1;4;1;4;4;3;2;4;5;3;4;3;4;1;1;1;3;4;3;1;3;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;1;1;1;1;6;6;6;5;5;5;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;71;6;4;9;2;1;2;1;2;1;11;1;0;3;5;1;56;0;0;0;0;2;5;1;5;2;2;1;1;3
997;1,2713;5/9/2016 14:57:15;5/9/2016 15:17:39;20;3;;1;2;4;4;3;3;4;4;2;1;1;2;2;2;2;1;1;1;1;1;1;3;4;4;4;6;6;6;3;3;4;4;4;3;4;4;3;4;4;3;4;3;3;3;3;3;3;3;2;2;3;3;3;3;2;3;3;3;2;4;4;4;4;4;4;3;3;4;4;4;4;2;4;3;3;4;4;4;4;3;3;3;4;2;2;3;3;2;3;3;3;2;3;4;1;2;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;4;4;2;2;4;3;2;2;3;2;3;2;4;4;4;4;4;5;5;5;5;5;5;5;5;5;3;3;2;3;2;2;4;2;3;2;1;1;1;1;2;1;1;1;1;2;1;1;2;2;2;3;2;3;3;2;2;2;3;3;2;3;2;3;3;3;2;2;2;5;3;4;6;2;2;3;2;1;2;2;1;1;1;2;2;2;2;2;2;3;2;2;3;3;1;1;1;1;1;21;1;1;10;3;1;1;0;3;1;14;5;1;2;4;1;43;0;0;0;0;3;3;1;2;3;1;5;1;3
998;0,7486;5/9/2016 15:14:24;5/9/2016 15:29:24;15;3;;3;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;1;4;2;1;5;6;6;1;1;1;6;4;3;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;2;2;2;4;2;4;2;4;2;2;4;4;4;4;4;4;4;4;2;3;2;4;4;4;4;4;4;4;3;3;4;3;3;3;3;4;1;2;2;2;4;2;1;1;4;4;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;3;3;4;1;3;2;2;2;3;3;3;2;2;4;2;2;2;4;2;2;2;2;5;3;2;3;2;4;2;3;3;1;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;3;3;3;3;3;3;2;2;2;2;1;2;3;3;3;2;3;1;1;1;4;4;4;3;3;3;2;1;1;2;2;2;1;2;2;2;1;2;1;2;4;3;2;3;3;1;1;1;1;1;58;5;3;10;3;1;1;1;2;4;11;1;1;3;7;1;74;0;0;0;0;2;2;1;2;3;1;1;1;3
999;0,9937;5/9/2016 15:14:35;5/9/2016 15:30:22;15;10;;1;1;5;5;4;4;3;3;3;2;2;2;2;2;2;1;1;1;1;1;1;6;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;2;3;3;3;4;3;3;3;2;2;3;2;2;3;2;2;4;3;3;4;3;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;3;3;2;2;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;3;3;2;3;3;3;3;3;2;2;2;2;2;2;2;3;3;3;3;2;;;;;40;3;2;9;2;1;1;1;1;5;1;5;1;3;5;3;56;0;0;0;0;1;7;0;1;2;1;5;1;5
1000;1,6987;5/9/2016 15:17:36;5/9/2016 15:48:30;30;3;;2;2;4;1;4;5;2;3;1;1;1;2;2;1;2;2;1;1;6;5;1;3;2;3;1;6;6;6;4;4;4;3;4;4;4;3;3;4;4;3;4;3;3;3;3;4;3;3;2;2;2;3;4;3;2;4;3;2;2;4;3;3;3;3;4;4;2;4;4;2;4;3;3;3;2;4;2;3;3;2;3;3;3;4;4;3;3;1;3;2;2;3;3;3;3;3;4;4;4;4;4;4;4;2;4;4;4;3;4;3;4;3;3;4;4;3;4;2;2;3;4;2;2;4;3;2;1;2;3;3;1;4;2;3;4;1;4;4;4;2;4;5;4;4;4;2;3;2;3;3;3;5;4;5;4;4;4;2;2;4;2;1;1;1;4;2;1;2;3;2;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;2;4;4;4;2;3;3;2;2;1;1;2;2;3;3;1;4;4;2;;;;;27;2;1;9;2;4;1;1;5;1;12;5;1;4;9;2;93;0;0;1;0;4;1;1;2;2;1;5;4;3
