CASEID;TM_START;TM_FINIS;DURATION;WEIGHT;RELPREF;DENOM;ID_MAINL;ID_RELRI;ID_THEOL;ID_EVANG;ID_THEOC;ID_CHARI;ID_BIBLE;ID_BORNA;ID_PENTE;ID_SEEKE;ID_FUNDA;ID_SPIRI;ID_SECUL;ID_IRREL;ID_RELIG;ID_ATHEI;ID_REFUS;HOWRELIG;ATTENDAN;PASTATTE;BIBLE;HUMANORI;ATLANTIS;POSTHINK;FORTUNET;ASTROLOG;HAUNTING;DREAMS;UFOS;BIGFOOT;SATAN_EV;HOROSCOP;PSYCHIC;HAUNTED;OUIJA;HAD_DREA;SAW_UFO;POLPREF;POLAFFIL;CANTRUST;SATIS_LI;SATIS_FI;SATIS_HE;DECISION;GAS_STRA;GAS_HELP;TRUST_PO;SAFE_HOU;SAFE_NET;SAFE_WAL;SAFE_NGB;SAFE_CIT;SAFE_WOR;WATCH_TA;WATCH_CO;WATCH_TR;WATCH_CR;WAVE_TV;WORRY_OL;WORRY_MO;WORRY_UN;WORRY_IL;WORRY_DE;OWNGUNS;SCI_SEAS;SCI_BULL;SCI_LIGH;SCI_SUN;SCI_VACC;YOUTH_RE;YOUTH_VI;YOUTH_FI;YOUTH_HA;YOUTH_DR;YOUTH_PR;YOUTH_SE;NET_GOVT;NET_CORP;NET_BULL;NET_IDEN;NET_SEXP;ENVIRONM;CLIMATEC;ENV_AIRP;ENV_DRIN;ENV_RIVR;ENV_PIPE;ENV_SOIL;ENV_RAIN;ENV_WARM;ENV_OILS;ENV_EXTI;ENV_SPRA;ENV_RUNO;DISAS_QU;DISAS_TO;DISAS_FL;DISAS_AS;DISAS_VO;DISAS_EM;DISAS_PO;DISAS_TE;DISAS_NU;DISAS_ME;DISAS_CO;DISAS_PA;DISAS_UN;DISAS_DE;DISAS_WA;GOVT_DRO;GOVT_OBA;GOVT_COR;GOVT_GUN;SURVIVAL;SUPPLIES;EVACUATI;FUTURE_C;FUTURE_S;FUTURE_O;FUTURE_T;FUTURE_A;GAY_TV;GAY_TEAC;GAY_MARR;GAY_SCHO;GAY_COAC;GAY_POLI;GAY_POLT;GAY_SOLD;GAY_RELL;IMM_CRIM;IMM_ASSI;IMM_DRAI;IMM_DISE;IMM_RAID;IMM_DEPO;IMM_PATH;THERM_AT;THERM_CD;THERM_CI;THERM_DE;THERM_DH;THERM_EP;THERM_FB;THERM_FD;THERM_FE;THERM_IR;THERM_NS;THERM_MS;THERM_AS;THER_ATH;THERM_BL;THERM_CA;THERM_WH;THERM_EV;THER_FEM;THERM_HI;THERM_HO;THERM_IM;THERM_JE;THERM_MU;THERM_PR;FEAR_MUG;FEAR;FEAR_STA;FEAR_MUR;FEAR_BRU;FEAR_RAP;FEAR_HAT;FEAR_SHO;COMP_ABD;COMP_GAN;COMP_TRA;COMP_RIO;COMP_PED;COMP_SCH;COMP_SER;COMP_RAP;CRIM_JUS;CRIM_EMP;CRIM_MOR;CRIM_EVI;CRIM_MED;CRIM_MEN;CRIM_BIA;PUN_SENT;PUN_DEAT;PUN_APPE;PUN_STRI;PUN_CAST;PUN_PRIV;PHOB_BLO;PHOB_ANI;PHOB_CLO;PHOB_DRO;PHOB_FLY;PHOB_GHO;PHOB_HEI;PHOB_SPE;PHOB_CLA;PHOB_STR;PHOB_DAR;PHOB_ZOM;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_RELIGION;I_AGE;I_EDUC;I_RACE;I_GENDER;I_FINCOME;I_MARITAL;I_REGION
12;4/16/2014;4/16/2014;13;0,6765;1;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;2;3;3;2;2;3;3;2;2;2;3;3;2;2;2;2;2;2;4;6;2;3;3;2;2;3;3;2;2;3;3;3;3;2;5;5;5;4;4;3;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;3;2;2;2;3;2;3;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;3;3;2;3;3;2;3;2;2;2;3;3;2;3;2;2;2;3;3;2;4;3;2;2;2;2;2;2;4;2;4;4;4;4;4;45;47;47;46;39;29;31;40;39;28;19;18;38;32;42;32;44;39;43;26;46;55;57;6;20;3;2;3;3;3;3;3;3;3;3;2;3;3;2;3;3;3;2;2;2;2;2;2;3;3;;2;3;2;3;2;3;2;4;3;3;2;3;3;3;3;61;5;4;9;2;1;1;1;4;1;13;1;0;3;5;1;59;0;0;0;0;4;2;1;1;4;2;1;1;4;1;3
13;4/16/2014;4/16/2014;25;1,1828;2;Catholic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;7;4;2;4;4;4;4;4;4;;4;4;2;2;2;;2;2;6;7;3;2;3;2;3;2;2;2;1;2;2;2;3;1;1;1;4;4;1;3;3;3;3;3;1;1;1;1;1;4;1;3;2;2;2;2;2;3;3;3;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;4;3;3;3;3;3;3;3;3;3;4;4;4;4;1;4;2;2;4;2;2;2;2;4;1;4;4;1;1;1;1;1;1;4;4;4;4;4;4;4;75;75;;90;75;90;75;90;90;90;90;50;90;73;87;24;54;2;49;82;98;96;92;97;2;4;4;4;4;4;4;4;4;3;2;2;3;2;1;2;1;1;1;4;4;2;1;2;4;4;4;4;4;4;4;3;3;3;4;4;3;3;3;4;4;4;52;4;3;14;4;1;1;1;2;1;17;6;1;3;5;1;59;0;0;0;0;2;1;1;2;3;4;1;1;5;4;3
14;4/16/2014;4/16/2014;17;1,0654;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;4;5;3;2;2;2;4;2;2;2;2;3;2;2;1;2;1;2;6;7;2;3;2;1;3;2;3;2;2;2;3;2;3;2;4;4;3;3;3;2;2;2;;3;1;2;3;2;2;4;2;1;1;2;3;2;2;3;4;4;2;4;1;1;1;1;1;2;;1;1;2;1;2;2;3;4;4;4;3;3;3;4;4;3;3;4;4;4;3;3;4;1;4;5;1;4;2;2;2;3;3;2;4;4;1;1;1;1;1;1;3;3;3;3;4;3;3;26;49;34;21;23;69;50;37;31;20;28;12;50;51;51;40;49;9;48;50;51;52;48;52;42;3;3;4;4;4;4;4;4;3;1;2;3;3;1;3;3;2;2;3;2;1;2;3;3;2;2;2;2;1;4;4;4;3;4;4;3;2;4;4;;4;60;5;4;10;3;1;2;1;3;3;11;1;1;4;9;1;93;0;0;0;0;3;2;1;5;4;3;1;2;3;1;4
15;4/16/2014;4/16/2014;64;0,4315;2;Roman Catholic;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;7;7;2;3;3;1;2;4;2;2;3;3;2;1;1;1;1;1;1;2;1;1;1;2;1;3;2;2;2;1;1;1;1;1;1;3;5;3;3;2;4;4;4;4;3;1;1;1;3;1;3;1;1;1;1;2;1;1;2;4;4;3;4;2;2;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;2;3;3;1;1;4;1;1;2;3;2;3;2;2;3;2;3;1;3;1;3;3;3;3;4;4;2;1;3;2;2;2;1;51;80;85;77;10;14;72;77;38;5;9;8;95;80;91;98;85;77;9;85;76;66;80;13;51;4;3;4;4;4;4;4;4;2;1;3;3;2;1;3;3;1;2;1;3;3;3;3;2;3;1;1;3;1;4;3;4;3;4;4;3;4;3;4;4;4;64;5;4;12;4;1;1;1;2;1;18;1;1;2;4;1;41;0;0;0;0;2;2;1;2;4;4;1;1;5;1;2
16;4/16/2014;4/16/2014;18;1,1801;9;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;1;4;3;2;2;3;3;2;2;2;3;4;1;2;1;1;2;2;4;4;3;2;2;2;3;2;2;4;2;2;2;2;2;2;5;3;5;3;3;3;2;2;3;3;1;4;1;2;4;4;2;2;1;1;2;1;1;2;2;4;2;4;3;2;1;3;3;3;3;3;3;3;3;2;3;3;4;3;4;3;4;4;4;4;4;2;3;1;2;1;3;3;1;3;3;1;4;1;3;3;4;4;2;4;4;1;1;1;1;1;1;1;3;3;3;4;3;3;50;50;0;0;15;25;0;50;75;10;0;50;50;50;50;50;50;10;50;25;50;50;50;50;50;4;3;4;4;3;4;4;4;3;3;3;4;3;3;3;3;3;2;3;2;2;2;2;3;3;2;3;4;1;4;4;4;3;4;4;3;4;4;4;4;4;30;2;2;11;3;1;1;0;6;1;9;6;1;4;8;2;87;0;3;1;0;2;1;1;4;2;3;1;1;2;4;4
17;4/16/2014;4/16/2014;24;0,8324;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;5;3;5;2;3;2;3;3;3;3;3;3;4;2;2;2;2;1;2;4;4;3;2;3;2;3;3;3;1;2;3;4;2;3;2;5;4;5;3;3;3;2;3;4;3;1;1;3;3;1;2;2;1;2;3;2;1;2;4;3;4;3;4;1;1;2;2;1;3;2;1;1;2;1;1;1;3;3;3;4;4;4;3;3;3;3;3;3;3;4;3;4;1;2;4;3;2;4;2;3;2;3;3;2;4;3;1;1;1;1;1;1;3;3;3;4;3;4;3;49;70;52;52;61;99;73;73;65;18;52;53;50;50;50;50;50;50;50;50;50;50;50;50;50;3;3;3;3;4;3;4;3;2;2;2;4;2;1;2;2;2;3;1;1;2;2;3;3;2;3;2;4;3;1;4;4;4;4;3;3;2;3;3;3;4;29;2;1;10;3;1;2;1;2;3;12;1;1;2;4;2;46;0;0;0;0;2;1;0;5;1;3;1;2;3;1;2
18;4/16/2014;4/16/2014;17;0,661;2;Roman Catholic;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;8;3;3;2;2;3;3;2;2;2;3;3;2;2;2;2;1;1;4;4;3;2;3;2;3;2;2;2;2;3;2;1;2;2;4;2;4;2;2;4;1;2;2;4;1;2;2;2;2;4;2;2;2;3;2;2;2;3;1;3;1;4;1;1;2;2;1;2;;2;2;3;3;3;2;3;4;4;4;3;3;3;4;4;3;2;3;4;3;2;4;4;1;4;3;1;4;2;3;2;2;4;2;4;4;2;2;2;2;2;2;3;3;4;4;3;3;3;60;100;40;50;10;100;60;100;50;50;100;60;100;100;100;100;100;40;100;100;100;100;100;100;20;4;3;4;4;3;4;4;4;5;3;2;4;3;2;3;3;3;2;2;2;3;2;3;3;3;3;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;68;6;4;11;3;1;1;0;3;1;8;1;1;4;9;2;93;0;0;0;0;3;5;1;2;4;3;1;1;2;1;4
19;4/16/2014;4/16/2014;15;0,6753;1;Baptist (non-specific);0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;6;3;3;4;2;4;4;2;2;3;4;4;2;2;2;2;1;2;3;4;2;3;2;1;3;2;2;3;1;2;1;1;1;1;5;4;4;4;3;4;2;2;3;4;4;1;1;2;4;4;1;1;2;2;2;1;1;2;1;4;1;4;3;2;3;2;3;4;2;4;3;3;1;3;3;4;3;4;4;4;4;3;3;4;4;3;4;4;3;4;2;4;4;3;4;1;4;2;3;3;2;4;2;4;3;1;1;1;1;1;1;3;2;3;3;3;2;3;0;80;81;0;50;50;80;100;50;51;0;0;99;100;99;100;80;25;10;99;99;75;99;99;50;4;3;4;4;3;4;3;3;4;3;4;4;2;2;3;1;3;3;2;2;3;1;2;3;3;2;4;1;3;2;3;1;4;4;4;2;3;4;4;4;4;42;3;2;12;4;1;1;1;2;1;19;1;1;3;5;1;54;0;0;0;0;2;1;1;1;2;4;1;1;5;1;3
20;4/16/2014;4/16/2014;87;1,4543;6;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;4;5;3;3;3;2;3;3;2;2;3;3;2;2;2;2;2;2;4;4;2;;2;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;2;2;2;3;3;1;3;3;2;3;3;3;3;3;3;3;2;3;2;2;3;3;3;2;4;3;3;3;2;3;3;3;3;3;2;2;3;2;2;3;3;2;2;2;3;3;3;2;3;3;3;2;2;2;2;4;2;;2;2;3;3;3;2;3;3;3;2;3;3;3;3;3;3;2;3;3;3;3;50;60;28;40;64;50;14;20;14;42;62;26;46;92;50;63;80;45;54;70;18;28;35;85;72;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;3;2;3;3;3;3;3;2;2;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;37;3;2;8;1;3;1;1;1;1;6;1;1;4;9;1;93;0;0;0;0;1;7;0;4;2;1;3;1;1;1;4
21;4/16/2014;4/18/2014;2937;0,4863;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;7;4;2;3;2;3;4;3;3;3;3;4;2;2;2;2;2;2;5;4;3;2;3;2;3;3;2;2;1;2;2;;2;1;4;3;3;4;2;3;2;4;4;3;3;1;1;1;4;4;2;2;3;3;3;3;2;4;3;4;4;4;1;1;2;2;1;1;1;1;2;2;1;1;1;3;3;3;4;4;4;3;4;4;4;2;3;4;4;2;4;4;1;4;6;1;3;2;3;1;3;4;2;4;4;1;1;1;1;1;1;3;2;2;3;3;2;2;0;90;40;15;2;50;37;50;67;7;5;51;81;88;69;65;68;6;61;50;87;49;74;77;59;4;3;4;4;4;4;4;4;3;2;2;3;2;2;3;3;2;2;2;1;3;2;3;3;2;2;2;2;1;4;4;4;4;4;4;4;3;4;4;4;4;57;5;3;9;2;1;1;1;2;1;16;1;1;3;7;1;74;0;0;0;0;2;1;1;5;3;2;1;1;5;1;3
