CASEID;TM_START;TM_FINIS;DURATION;WEIGHT;RELPREF;DENOM;ID_MAINL;ID_RELRI;ID_THEOL;ID_EVANG;ID_THEOC;ID_CHARI;ID_BIBLE;ID_BORNA;ID_PENTE;ID_SEEKE;ID_FUNDA;ID_SPIRI;ID_SECUL;ID_IRREL;ID_RELIG;ID_ATHEI;ID_REFUS;HOWRELIG;ATTENDAN;PASTATTE;BIBLE;HUMANORI;ATLANTIS;POSTHINK;FORTUNET;ASTROLOG;HAUNTING;DREAMS;UFOS;BIGFOOT;SATAN_EV;HOROSCOP;PSYCHIC;HAUNTED;OUIJA;HAD_DREA;SAW_UFO;POLPREF;POLAFFIL;CANTRUST;SATIS_LI;SATIS_FI;SATIS_HE;DECISION;GAS_STRA;GAS_HELP;TRUST_PO;SAFE_HOU;SAFE_NET;SAFE_WAL;SAFE_NGB;SAFE_CIT;SAFE_WOR;WATCH_TA;WATCH_CO;WATCH_TR;WATCH_CR;WAVE_TV;WORRY_OL;WORRY_MO;WORRY_UN;WORRY_IL;WORRY_DE;OWNGUNS;SCI_SEAS;SCI_BULL;SCI_LIGH;SCI_SUN;SCI_VACC;YOUTH_RE;YOUTH_VI;YOUTH_FI;YOUTH_HA;YOUTH_DR;YOUTH_PR;YOUTH_SE;NET_GOVT;NET_CORP;NET_BULL;NET_IDEN;NET_SEXP;ENVIRONM;CLIMATEC;ENV_AIRP;ENV_DRIN;ENV_RIVR;ENV_PIPE;ENV_SOIL;ENV_RAIN;ENV_WARM;ENV_OILS;ENV_EXTI;ENV_SPRA;ENV_RUNO;DISAS_QU;DISAS_TO;DISAS_FL;DISAS_AS;DISAS_VO;DISAS_EM;DISAS_PO;DISAS_TE;DISAS_NU;DISAS_ME;DISAS_CO;DISAS_PA;DISAS_UN;DISAS_DE;DISAS_WA;GOVT_DRO;GOVT_OBA;GOVT_COR;GOVT_GUN;SURVIVAL;SUPPLIES;EVACUATI;FUTURE_C;FUTURE_S;FUTURE_O;FUTURE_T;FUTURE_A;GAY_TV;GAY_TEAC;GAY_MARR;GAY_SCHO;GAY_COAC;GAY_POLI;GAY_POLT;GAY_SOLD;GAY_RELL;IMM_CRIM;IMM_ASSI;IMM_DRAI;IMM_DISE;IMM_RAID;IMM_DEPO;IMM_PATH;THERM_AT;THERM_CD;THERM_CI;THERM_DE;THERM_DH;THERM_EP;THERM_FB;THERM_FD;THERM_FE;THERM_IR;THERM_NS;THERM_MS;THERM_AS;THER_ATH;THERM_BL;THERM_CA;THERM_WH;THERM_EV;THER_FEM;THERM_HI;THERM_HO;THERM_IM;THERM_JE;THERM_MU;THERM_PR;FEAR_MUG;FEAR;FEAR_STA;FEAR_MUR;FEAR_BRU;FEAR_RAP;FEAR_HAT;FEAR_SHO;COMP_ABD;COMP_GAN;COMP_TRA;COMP_RIO;COMP_PED;COMP_SCH;COMP_SER;COMP_RAP;CRIM_JUS;CRIM_EMP;CRIM_MOR;CRIM_EVI;CRIM_MED;CRIM_MEN;CRIM_BIA;PUN_SENT;PUN_DEAT;PUN_APPE;PUN_STRI;PUN_CAST;PUN_PRIV;PHOB_BLO;PHOB_ANI;PHOB_CLO;PHOB_DRO;PHOB_FLY;PHOB_GHO;PHOB_HEI;PHOB_SPE;PHOB_CLA;PHOB_STR;PHOB_DAR;PHOB_ZOM;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_RELIGION;I_AGE;I_EDUC;I_RACE;I_GENDER;I_FINCOME;I_MARITAL;I_REGION
281;4/16/2014;4/16/2014;276;1,5085;1;Baptist;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;3;6;7;2;1;1;1;2;3;2;1;2;2;1;1;2;2;2;1;2;4;4;3;4;4;2;4;3;3;2;1;2;4;3;4;2;3;3;4;2;1;1;1;1;3;3;1;1;1;1;2;1;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;1;2;5;1;1;1;2;1;2;1;2;3;2;2;3;2;2;2;3;3;2;2;2;2;2;3;51;97;72;73;74;86;81;84;78;78;79;80;55;1;56;67;55;53;61;53;28;29;24;16;97;1;1;1;1;3;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;1;2;3;3;3;2;3;3;3;2;2;1;1;3;2;3;4;4;4;3;35;3;2;10;3;2;2;1;5;3;4;5;1;2;3;2;33;0;0;4;0;1;2;0;1;2;3;2;2;1;3;2
282;4/16/2014;4/16/2014;42;1,0513;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;4;2;1;3;2;2;1;1;2;2;;3;1;1;2;2;1;2;4;5;2;3;4;2;2;4;4;2;3;3;4;3;3;3;1;1;1;1;1;3;1;1;1;4;1;2;2;2;2;3;1;3;2;2;1;1;2;1;3;1;1;1;3;2;2;1;2;1;2;3;2;2;3;2;2;1;1;1;3;4;1;3;1;2;3;1;3;2;4;2;2;3;1;4;3;2;1;1;2;2;2;3;3;4;1;2;3;2;2;2;3;3;2;1;2;2;2;2;65;79;79;86;70;85;83;86;100;100;60;50;51;38;51;51;51;51;40;39;51;20;50;51;51;1;1;2;1;2;1;1;1;3;5;5;;4;5;4;3;1;1;1;2;2;2;3;3;3;2;2;2;4;4;3;4;3;3;3;4;3;3;3;3;3;35;3;2;9;2;2;2;0;6;1;1;5;1;1;2;3;22;0;1;1;1;3;4;1;5;2;2;2;2;1;3;1
283;4/16/2014;4/16/2014;29;2,9667;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;6;7;2;;3;2;3;3;2;3;3;3;3;2;2;2;2;2;2;4;4;3;2;3;2;2;4;3;2;3;3;4;3;3;3;3;4;3;4;1;1;1;1;2;1;1;3;2;3;2;3;3;3;2;3;4;3;2;3;3;4;4;4;3;4;4;3;2;4;2;1;2;2;4;4;2;1;4;4;4;4;4;4;2;3;4;2;4;4;2;1;4;4;4;3;1;2;2;4;3;3;3;3;3;3;;3;3;2;3;2;3;3;;3;4;4;4;4;0;100;100;100;100;55;100;65;55;100;90;100;50;40;25;75;50;20;100;100;15;80;40;5;30;4;4;3;4;3;4;1;2;5;4;4;5;5;5;5;4;2;2;2;4;4;4;4;2;3;2;2;1;1;4;3;4;4;3;3;3;3;4;3;3;2;31;2;2;9;2;4;2;0;2;3;10;5;1;4;9;2;93;0;0;0;0;2;7;1;2;2;2;4;2;3;3;4
284;4/16/2014;4/17/2014;1073;0,1298;4;Conservative;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;7;5;1;3;2;4;4;3;;4;4;4;2;2;2;2;1;2;4;5;1;3;3;3;3;3;3;2;3;3;4;3;3;3;5;5;5;3;4;3;3;4;3;4;1;2;3;2;2;4;1;1;1;1;1;1;1;4;4;4;3;4;3;2;3;3;3;4;3;3;3;3;4;2;3;3;3;3;4;4;4;4;4;4;4;3;4;4;3;3;3;4;3;4;5;1;4;2;4;4;3;4;;4;3;2;2;2;2;2;2;2;1;1;2;;1;1;31;76;49;53;50;49;51;49;35;29;39;28;77;77;77;77;76;48;49;73;72;37;93;48;34;3;3;4;4;4;4;2;3;2;1;2;2;2;1;2;2;2;3;2;2;2;3;3;2;2;2;2;2;1;3;4;4;4;4;4;4;3;4;4;4;4;84;7;4;10;3;5;2;1;1;1;9;2;1;4;9;1;93;0;0;0;0;1;5;1;4;4;3;3;2;2;2;4
285;4/16/2014;4/16/2014;23;2,5813;1;Nondenominational;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;7;1;2;1;4;2;4;4;2;2;4;4;1;2;2;2;2;1;2;4;4;3;2;2;3;3;3;3;2;1;1;2;2;2;2;4;4;3;5;3;4;2;2;3;3;1;2;2;2;2;2;2;2;3;2;1;1;1;2;2;4;1;4;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;2;2;1;2;2;1;1;1;2;3;1;2;6;2;3;3;4;2;4;1;1;2;1;4;4;4;4;4;4;2;2;2;2;3;3;2;35;32;50;30;30;40;51;20;31;1;1;29;100;50;70;75;60;80;1;60;1;80;85;65;90;2;1;3;3;3;3;2;1;2;2;1;3;3;2;2;2;3;2;1;1;1;2;2;2;1;1;2;1;2;2;2;4;4;2;2;1;3;4;3;4;4;22;1;1;10;3;3;1;1;3;1;3;5;1;4;9;1;95;0;0;0;0;3;3;1;1;1;3;3;1;1;3;4
286;4/16/2014;4/16/2014;36;0,9422;1;southern baptist;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;2;5;2;3;2;2;3;3;2;2;2;2;3;2;2;2;2;1;2;4;4;2;2;2;2;3;3;3;2;2;2;4;4;4;2;4;4;2;2;2;3;2;3;3;3;4;2;2;2;2;3;2;2;2;2;2;2;2;4;4;4;4;4;1;1;2;2;2;2;2;3;3;2;3;3;2;2;;3;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;2;1;2;1;3;3;2;4;3;3;3;3;3;3;2;2;2;2;2;2;2;50;50;50;50;50;50;50;50;50;50;50;50;25;25;25;25;75;25;25;25;5;10;10;10;10;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;3;3;2;2;2;3;2;58;5;3;9;2;1;2;1;1;4;8;3;1;3;7;1;74;0;0;0;0;1;1;1;1;3;2;1;2;2;2;3
287;4/16/2014;4/16/2014;25;0,5802;9;Center For Spiritual Living;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;3;7;6;4;2;3;1;2;2;2;2;2;4;4;1;1;1;1;1;2;6;7;3;2;2;1;2;2;2;2;1;3;2;1;3;2;3;4;5;1;1;3;2;3;3;4;1;2;2;2;2;4;1;2;1;3;3;2;3;3;3;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;4;2;4;3;3;3;4;2;2;3;3;3;4;4;1;4;3;1;4;2;3;2;3;4;2;4;4;1;1;1;1;1;1;4;3;2;4;4;4;4;50;50;50;44;40;49;33;3;23;1;23;50;50;82;92;1;79;0;89;82;100;71;100;50;0;4;2;4;4;4;4;4;4;2;2;1;2;2;1;2;2;1;1;4;4;4;1;2;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;2;48;4;3;12;4;1;2;1;2;1;9;5;1;4;9;2;93;0;0;0;0;2;2;1;4;3;4;1;2;2;3;4
288;4/16/2014;4/16/2014;16;0,3721;1;Missouri Synod Lutheran;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;7;2;1;2;3;4;3;3;2;3;4;2;2;2;2;2;1;2;5;5;3;3;2;2;3;2;2;2;2;3;3;2;2;2;4;5;3;2;2;3;3;2;2;3;1;2;3;3;3;4;2;2;2;1;2;2;2;3;4;4;2;4;3;1;3;2;2;2;3;2;3;3;3;4;4;3;3;3;4;4;4;3;3;3;3;2;2;3;3;3;4;4;4;3;2;1;3;3;4;2;3;3;2;3;4;;;;;;;3;3;3;2;4;4;4;50;85;45;58;45;57;58;13;27;3;45;50;50;25;50;50;50;50;50;50;50;50;50;50;50;3;2;4;4;4;3;4;4;3;2;2;3;3;2;3;3;2;3;2;2;3;2;3;2;3;3;2;;3;4;4;4;3;4;4;3;3;4;4;4;4;30;2;2;12;4;1;2;0;3;1;16;5;1;3;7;2;73;0;0;0;0;3;1;1;1;2;4;1;2;5;3;3
289;4/16/2014;4/16/2014;14;0,6361;10;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;5;5;3;2;3;3;3;2;2;3;3;3;1;1;2;2;2;2;4;4;3;2;3;1;3;3;3;2;1;3;3;3;3;3;4;4;4;3;;3;1;1;1;3;4;2;3;3;3;3;2;2;2;1;2;2;2;1;1;1;1;1;3;4;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;2;2;;2;2;2;2;2;2;1;1;1;3;2;4;2;3;3;3;3;;4;4;1;1;1;1;1;1;1;1;1;1;1;1;;49;50;24;56;49;46;50;49;39;40;38;36;2;49;10;50;100;87;65;1;71;23;80;8;74;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;2;3;2;2;1;1;1;1;4;4;4;3;3;4;4;3;4;3;3;4;56;5;3;9;2;1;2;1;5;1;12;1;0;3;5;1;52;0;0;0;2;3;1;0;5;3;2;1;2;3;1;3
290;4/16/2014;4/16/2014;22;0,5067;1;Episcopal;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;7;7;2;3;2;3;4;4;2;4;2;3;3;2;2;2;2;2;2;5;6;3;2;2;2;3;2;2;2;1;3;1;1;1;1;4;4;4;4;4;3;3;4;3;3;4;3;3;4;4;3;2;2;3;3;3;3;3;4;3;4;3;4;1;1;2;3;2;3;2;2;2;3;3;2;2;4;4;4;4;4;3;3;3;3;3;2;2;2;3;2;4;4;3;4;6;1;4;2;3;2;3;3;2;3;3;2;2;2;2;2;2;3;2;3;3;3;3;3;50;50;75;51;75;51;90;50;50;50;34;50;89;89;90;52;91;51;50;93;93;91;93;94;12;4;3;4;4;4;4;4;4;3;2;2;3;3;2;3;3;2;2;2;3;2;2;2;3;3;3;4;3;2;4;4;4;4;4;;2;4;2;4;4;4;68;6;4;9;2;1;1;1;4;1;13;1;0;1;1;1;13;0;0;1;0;3;5;0;1;4;2;1;1;4;1;1
291;4/16/2014;4/16/2014;7;0,9926;3;Independant;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;7;7;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;4;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;6;4;9;2;1;2;1;2;1;8;1;1;3;5;1;54;0;0;0;0;2;5;1;3;4;2;1;2;2;1;3
292;4/16/2014;4/16/2014;11;0,5003;7;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;5;2;3;2;2;2;2;3;3;3;2;3;2;2;2;2;2;2;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;3;2;2;3;2;3;3;4;1;2;2;2;2;2;3;3;2;3;3;3;4;2;2;2;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;2;2;2;2;5;2;4;2;2;2;2;2;2;2;2;4;4;4;2;4;4;2;2;3;3;3;2;3;48;49;51;43;50;51;50;50;50;50;50;51;50;50;50;50;50;50;50;50;50;50;50;50;50;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;36;3;2;12;4;3;1;1;1;3;3;1;1;1;2;2;23;0;0;0;0;1;1;0;4;2;4;3;1;1;1;1
293;4/16/2014;4/16/2014;54;0,5071;1;Baptist;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;6;4;2;2;2;3;3;2;2;2;3;2;2;2;2;2;1;1;2;2;3;3;3;3;3;2;2;3;2;3;2;2;2;2;3;2;2;3;3;2;2;2;2;2;4;3;1;2;3;3;2;2;2;2;1;1;2;2;2;4;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;3;3;3;3;3;2;3;2;3;2;2;2;1;4;1;4;3;4;2;4;3;2;3;1;2;2;2;2;3;3;2;3;1;2;2;2;2;8;19;51;27;51;50;51;30;40;3;26;4;50;25;0;25;99;97;50;49;10;25;2;0;75;3;2;4;4;4;4;3;4;2;1;1;4;2;1;3;3;2;2;1;2;1;2;3;2;2;2;2;2;1;4;3;4;3;4;4;4;3;3;4;4;4;46;4;3;10;3;1;1;0;2;1;12;5;1;3;5;1;56;0;0;0;0;2;6;1;1;3;3;1;1;3;3;3
294;4/16/2014;4/16/2014;44;1,1182;1;I consider myself Catharene--I grew up Roman Catholic and now attend a Nazarene church.;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4;7;4;2;3;4;2;3;3;2;2;4;4;2;2;2;2;2;2;2;5;4;3;3;4;4;4;2;3;1;1;3;3;2;1;2;5;5;5;3;2;4;2;4;2;3;1;4;2;3;4;3;3;3;2;3;2;2;3;3;3;4;1;4;1;1;1;1;1;2;1;1;1;2;2;3;2;3;4;4;4;4;3;3;4;2;3;3;4;4;4;1;3;3;2;4;3;2;4;2;2;3;3;4;1;3;3;1;1;1;1;1;3;3;3;4;3;;4;;75;95;40;90;35;95;95;90;85;55;25;50;100;75;100;100;100;100;95;100;100;100;100;100;90;3;2;4;4;4;2;2;4;3;4;2;3;3;1;3;3;3;2;2;2;3;3;2;3;4;3;3;3;;2;3;4;4;4;4;3;4;4;4;4;4;32;2;2;13;4;1;2;1;3;3;7;1;1;4;9;2;93;0;1;0;0;2;7;1;1;2;4;1;2;2;1;4
295;4/16/2014;4/16/2014;19;0,6903;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;2;5;2;3;3;3;3;3;3;3;3;3;2;2;2;2;1;2;5;5;2;3;3;2;3;4;3;3;2;2;2;2;2;2;4;3;3;2;1;2;2;1;2;3;1;2;3;2;2;3;1;2;3;3;2;3;1;2;2;2;2;2;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;3;1;1;2;3;3;2;3;2;4;4;1;1;1;1;1;1;3;3;2;3;3;2;3;25;50;50;50;50;50;50;50;50;50;50;50;90;50;50;25;50;50;50;50;100;50;50;50;50;2;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;2;4;4;3;3;3;3;4;4;24;1;1;12;4;4;1;0;4;1;15;5;1;4;9;1;93;0;0;0;0;4;4;1;5;1;4;4;1;4;3;4
296;4/16/2014;4/16/2014;34;0,5329;3;Christian;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;1;6;4;2;3;3;2;2;3;3;4;4;4;1;1;2;1;2;2;6;5;3;3;3;2;4;3;3;2;2;2;3;2;3;2;3;4;1;5;2;1;1;1;1;1;1;4;3;3;4;3;3;2;2;2;3;3;2;1;1;2;2;3;3;1;3;2;2;3;3;3;1;2;2;3;3;2;2;2;4;3;4;3;3;4;4;2;3;3;3;4;3;4;1;4;2;2;4;2;4;2;4;4;2;4;4;2;2;1;1;2;1;2;3;3;3;3;3;3;50;50;25;5;50;60;60;50;15;3;1;50;95;80;90;90;90;2;99;90;90;65;90;1;50;3;2;3;3;3;3;3;1;2;2;2;3;3;3;4;3;3;2;2;2;2;2;2;3;4;3;3;2;3;2;2;1;1;4;4;3;3;;4;4;4;59;5;3;10;3;1;2;1;1;3;2;3;1;1;2;2;22;0;0;0;0;1;4;0;3;3;3;1;2;1;2;1
297;4/16/2014;4/16/2014;11;1,7965;6;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;1;5;3;2;2;3;2;2;2;2;3;3;1;2;2;2;1;2;4;4;2;2;2;2;3;2;2;2;2;2;2;2;2;2;4;4;4;4;1;3;3;3;3;3;1;2;4;3;3;1;2;2;2;1;1;1;1;3;3;4;3;4;3;2;4;3;3;4;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;4;3;4;3;4;5;2;4;2;3;3;4;4;3;4;4;1;1;1;1;1;1;4;4;4;4;4;4;4;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;4;4;4;4;4;4;4;4;3;3;4;4;3;1;3;3;2;3;2;2;2;3;3;1;1;1;1;2;1;4;4;4;4;4;4;4;4;4;4;4;4;46;4;3;10;3;3;1;1;1;3;11;5;1;1;1;2;14;0;0;0;0;1;1;1;4;3;3;3;1;3;3;1
298;4/16/2014;4/16/2014;12;0,8961;1;Lutheran;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;6;4;2;2;2;4;4;2;3;2;3;4;2;2;2;1;2;2;6;6;3;2;3;1;3;2;3;1;1;2;2;2;2;1;4;4;3;3;2;2;2;3;4;3;1;4;2;3;3;4;2;2;2;3;3;3;2;2;2;4;2;4;1;1;2;2;2;3;3;1;1;3;2;2;3;4;2;3;4;4;4;4;3;4;4;2;3;3;3;2;4;4;2;3;2;2;4;2;4;2;4;4;2;4;4;1;1;1;1;1;1;4;3;3;4;2;2;4;29;69;1;8;21;50;1;15;60;4;3;13;99;83;89;96;71;25;42;84;100;72;91;78;4;4;2;4;4;4;4;2;4;4;4;2;4;4;4;3;3;2;2;3;3;2;1;1;4;3;3;3;2;3;2;4;4;3;3;4;3;4;4;4;4;4;45;4;3;14;4;1;1;1;3;1;19;5;1;3;5;1;54;0;0;0;0;3;1;1;1;3;4;1;1;5;3;3
299;4/16/2014;4/16/2014;24;0,3684;3;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;3;7;4;3;2;2;3;3;2;2;2;3;3;2;2;2;2;1;1;5;5;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;4;3;4;2;2;2;3;2;2;1;3;3;3;3;3;3;2;;2;3;2;2;3;2;3;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;3;3;3;3;2;2;4;4;2;4;4;1;3;4;2;2;2;3;4;4;4;1;1;1;1;1;1;3;3;3;3;3;3;2;60;40;50;50;51;50;50;50;50;49;50;50;51;50;51;51;51;40;50;50;51;51;51;35;30;3;2;3;3;3;3;3;3;4;3;4;3;4;2;4;4;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;4;3;3;4;3;3;3;3;3;4;65;6;4;13;4;1;1;1;1;2;11;5;1;2;4;1;43;0;0;0;0;1;5;1;3;4;4;1;1;3;3;2
300;4/16/2014;4/16/2014;33;0,4398;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;7;4;2;2;3;3;2;3;3;1;4;1;2;2;2;2;2;1;4;4;2;3;4;3;3;3;2;2;2;2;2;2;2;2;5;3;2;3;3;2;2;4;3;3;4;2;2;3;2;2;1;3;3;2;2;2;2;1;1;3;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;4;2;2;3;2;2;2;1;4;4;4;4;4;4;2;2;2;2;3;1;1;50;25;5;5;10;10;5;5;5;5;0;0;75;0;90;50;90;25;0;70;0;75;5;0;10;4;4;4;4;3;4;4;4;2;2;2;4;4;3;3;2;1;1;1;2;3;3;2;3;2;3;2;4;1;4;3;4;3;4;4;3;4;4;3;4;4;65;6;4;9;2;1;1;0;2;3;8;1;1;2;3;2;31;0;0;0;0;2;5;1;2;4;2;1;1;2;1;2
301;4/16/2014;4/16/2014;39;0,848;1;United Church of Christ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;7;2;3;2;2;3;3;2;2;3;3;3;1;2;2;2;2;2;5;6;2;2;3;3;3;3;2;2;1;2;3;3;3;2;2;2;3;3;2;2;2;4;2;3;1;1;2;4;1;3;2;3;2;3;3;3;2;4;3;4;2;4;1;1;2;2;2;1;2;3;1;2;3;3;3;3;2;3;3;3;4;3;2;4;3;2;3;3;3;4;4;4;3;4;4;2;4;2;3;3;3;4;2;4;4;2;2;2;2;2;2;3;3;3;3;3;2;3;50;97;51;51;50;98;72;94;73;49;50;28;64;12;79;78;87;37;51;58;50;59;74;50;20;3;2;3;3;4;4;3;4;5;5;5;5;5;3;3;5;2;1;2;2;2;1;2;3;3;2;1;3;3;4;3;4;4;4;4;2;4;4;4;3;4;65;6;4;12;4;1;1;1;1;3;5;3;0;3;5;2;58;0;0;0;0;1;5;1;1;4;4;1;1;1;2;3
302;4/16/2014;4/16/2014;37;1,4209;3;Nondenomination;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;7;8;5;1;2;2;3;4;2;2;2;3;2;2;2;2;2;2;2;4;6;2;3;3;2;3;4;4;3;1;1;3;2;2;2;4;4;4;3;3;3;3;4;3;3;1;3;4;3;3;3;3;2;2;3;3;2;3;4;4;4;2;4;1;1;2;2;1;3;3;1;1;3;3;1;3;3;3;3;3;3;2;3;2;2;2;2;3;2;3;3;3;4;2;4;5;2;4;2;2;1;3;2;2;4;4;2;2;2;2;2;2;2;3;2;2;4;2;3;21;46;51;28;50;16;63;50;13;29;58;53;93;49;93;93;92;97;51;93;97;75;97;93;55;4;3;4;4;3;4;3;4;3;2;2;4;2;2;3;2;2;3;2;2;2;2;3;2;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;19;1;1;9;2;2;1;0;5;1;17;5;1;2;4;1;43;1;1;0;0;3;1;1;3;1;2;2;1;5;3;2
303;4/16/2014;4/16/2014;24;0,5114;2;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;7;2;3;1;2;3;3;2;3;2;2;2;1;1;2;2;2;2;3;4;2;3;3;2;2;3;3;2;2;3;4;2;3;2;5;4;4;3;3;3;3;4;3;3;1;2;1;3;4;2;1;1;1;1;2;2;1;3;3;3;2;4;2;2;3;2;2;2;2;2;;2;2;4;4;4;3;4;3;3;3;4;3;3;4;3;3;3;2;3;2;1;1;1;6;2;4;2;3;3;3;3;1;3;1;2;2;2;2;2;2;1;1;1;3;1;1;1;50;52;49;50;9;11;48;7;51;19;19;13;51;49;49;51;49;50;49;48;50;50;53;48;52;3;3;3;3;4;3;3;4;3;2;3;3;3;1;3;3;1;1;1;1;2;2;3;1;2;2;2;2;1;2;2;4;2;3;4;3;4;3;3;4;4;71;6;4;10;3;1;2;1;2;1;16;1;1;2;3;1;33;0;0;0;0;2;5;0;2;4;3;1;2;5;1;2
304;4/16/2014;4/16/2014;18;1,7186;9;conservative;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;3;4;7;1;3;2;2;2;2;2;2;2;3;2;1;2;1;2;1;2;4;4;2;2;3;2;3;2;3;2;1;2;3;2;3;2;4;4;3;2;3;1;2;2;2;3;1;3;3;2;2;3;2;3;3;1;1;1;1;4;2;4;2;4;1;1;2;1;1;2;1;3;1;1;3;1;1;3;2;1;1;1;1;1;1;1;1;2;2;2;2;1;4;4;1;4;3;2;2;4;4;2;4;2;1;4;1;2;3;2;2;2;3;3;2;3;3;3;3;3;0;50;0;60;70;40;50;70;30;0;0;0;40;0;0;50;50;50;0;100;0;50;20;0;30;3;3;4;3;1;4;2;1;1;1;1;3;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;4;3;4;4;4;4;2;2;2;2;2;4;44;3;2;9;2;4;1;1;2;3;2;5;1;1;2;2;21;0;0;0;0;2;4;1;4;2;2;4;1;1;3;1
