CASEID;WEIGHT;TM_START;TM_FINISH;DURATION;Q1;Q1_TEXT;Q2;Q3;Q4;Q5;Q6;Q7_1;Q7_2;Q8_1;Q8_2;Q8_3;Q8_4;Q8_5;Q8_6;Q8B;Q9;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q10_9;Q10_10;Q10_11;Q10_12;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q12;Q13;Q14_1;Q14_2;Q14_3;Q14_4;Q14_5;Q14_6;Q14_7;Q15_1;Q15_2;Q15_3;Q15_4;Q15_5;Q15_6;Q15_7;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q17;Q18;Q19;Q21_1;Q21_2;Q21_3;Q21_4;Q21_5;Q21_6;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q23_2;Q23_4;Q23_8;Q24_1;Q24_2;Q24_3;Q24_4;Q24_5;Q24_6;Q24_7;Q24_8;Q24_9;Q24_10;Q25_1;Q25_2;Q25_3;Q25_4;Q25_5;Q25_6;Q25_7;Q25_8;Q25_9;Q27_1;Q27_2;Q27_3;Q27_4;Q28_1;Q28_2;Q28_3;Q28_4;Q29_1;Q29_2;Q30_1;Q30_2;Q30_3;Q30_4;Q30_5;Q30_6;Q30_7;Q30_8;Q30_9;Q30_10;Q30_11;Q30_12;Q30_13;Q30_14;Q30_15;Q30_16;Q30_17;Q31_1;Q31_2;Q31_3;Q31_4;Q31_5;Q31_6;Q31_7;Q32_1;Q32_2;Q32_3;Q32_4;Q32_5;Q32_6;Q34_1;Q34_2;Q34_3;Q34_4;Q35_1;Q35_2;Q35_3;Q35_4;Q35_5;Q35_6;Q35_7;Q35_8;Q35_9;Q35_10;Q35_11;Q35_12;Q35_13;Q35_14;Q35_15;Q35_16;Q35_17;Q35_18;Q36_1;Q36_2;Q36_3;Q36_4;Q36_5;Q36_6;Q37_1;Q37_2;Q37_3;Q37_4;Q37_5;Q37_6;Q37_7;Q37_8;Q38_1;Q38_2;Q38_3;Q40_1;Q40_2;Q40_3;Q40_4;Q40_5;Q40_6;Q40_7;Q40_8;Q41_1;Q41_2;Q41_3;Q41_4;Q41_5;Q41_6;Q41_7;Q41_8;Q41_9;Q41_10;Q41_11;Q41_12;Q41_13;Q41_14;Q41_15;Q41_16;Q41_17;Q41_18;Q41_19;Q42;Q43;Q44_1;Q44_2;Q44_3;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q45_9;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
322;0,7019;5/15/2015 23:46:38;5/19/2015 21:29:43;5623;2;;4;7;4;4;6;2;2;2;2;2;2;2;2;7;6;2;3;2;3;4;4;2;1;4;2;4;1;2;2;6;2;2;2;4;4;2;2;1;1;2;4;3;2;2;2;1;1;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;1;1;2;2;2;3;3;2;3;3;5;7;6;6;7;6;6;1;6;2;2;2;2;3;2;2;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;3;5;5;2;5;2;5;5;2;2;2;1;2;1;4;4;4;4;4;4;3;3;3;3;3;4;4;4;3;4;4;4;4;3;3;3;4;4;4;4;4;4;1;1;1;1;1;1;1;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;2;2;;;;;;;;;;64;5;4;12;4;1;2;1;2;1;14;1;1;3;5;1;59;0;0;0;0;2;1;1;5;4;2;1;1;2
323;1,4181;5/15/2015 23:47:32;5/16/2015 0:02:40;15;2;;2;3;2;4;4;3;3;2;2;2;2;2;2;7;4;1;5;2;4;4;4;5;1;4;5;5;4;3;3;3;3;3;3;3;3;2;2;2;2;2;4;3;2;2;2;2;2;3;2;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;2;4;4;4;4;4;3;3;3;3;3;2;2;2;2;3;3;2;3;3;3;1;3;3;3;3;2;2;3;2;2;2;2;2;4;2;3;3;4;3;3;3;3;2;2;3;3;3;2;3;3;3;3;2;2;3;5;5;5;4;4;4;4;2;2;2;2;3;3;4;5;4;3;4;4;2;2;2;4;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;2;3;4;2;2;2;2;2;3;2;3;2;3;2;2;2;2;2;3;2;2;1;2;1;1;2;4;4;4;2;1;1;2;1;2;1;4;3;1;1;1;2;1;2;3;3;;;;;;;;;;20;1;1;9;2;4;2;0;2;1;11;1;1;3;5;2;59;0;0;0;0;2;1;1;2;2;2;1;4;2
324;0,7613;5/15/2015 23:50:16;5/16/2015 0:12:32;22;2;;3;2;2;2;3;-1;2;1;2;2;2;1;1;6;5;3;6;6;2;6;6;4;2;2;4;6;6;2;1;5;1;1;1;3;1;2;2;2;2;2;3;2;2;2;3;3;2;3;3;3;4;4;2;4;4;4;4;3;4;4;4;4;3;4;4;4;3;4;3;4;4;4;3;3;3;4;3;1;1;1;3;4;3;2;4;4;3;1;1;3;3;3;1;1;3;2;2;2;1;1;1;1;1;4;2;3;4;4;4;2;4;4;4;4;4;3;3;4;4;3;3;4;3;3;2;3;3;4;2;1;1;2;2;2;2;4;4;4;4;2;2;3;2;3;4;3;3;3;4;3;3;3;4;4;3;4;4;3;3;4;2;3;3;2;2;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;4;4;3;4;4;4;4;2;2;2;3;4;1;1;1;1;1;1;3;3;1;2;3;2;;;;;;;;;;61;5;4;10;3;1;2;1;3;1;16;1;1;2;3;1;34;0;0;0;0;3;1;1;2;3;2;1;1;2
325;0,6225;5/15/2015 23:51:03;5/16/2015 0:20:16;29;1;;4;7;2;3;2;2;2;1;2;2;2;1;2;7;2;1;5;1;2;2;4;5;1;6;6;6;5;1;1;7;2;1;1;3;2;1;1;1;1;4;4;4;2;2;2;2;2;3;3;4;4;4;3;4;3;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;3;3;2;2;2;3;3;3;3;3;4;3;4;8;4;1;1;6;2;1;2;1;4;3;3;3;3;3;4;4;4;4;3;4;4;4;3;4;3;3;4;4;3;3;3;3;3;5;3;3;3;3;2;2;2;3;3;3;1;1;1;1;4;4;4;2;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;2;3;3;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;3;3;4;3;4;4;4;4;4;3;3;3;3;3;3;3;4;4;3;3;3;2;1;2;4;3;;;;;;;;;;71;6;4;13;4;1;1;1;2;2;14;1;1;3;5;1;59;0;0;0;0;2;5;1;5;4;1;1;1;1
326;0,8547;5/15/2015 23:51:29;5/16/2015 0:55:31;64;3;;2;2;2;4;4;2;2;1;2;2;2;1;2;5;5;5;5;4;6;4;3;3;1;4;6;6;5;3;5;7;4;7;1;3;4;2;1;1;1;1;4;4;2;2;2;2;2;2;3;4;4;4;4;4;4;4;4;3;3;4;3;4;3;3;3;4;4;4;3;4;3;4;3;3;3;3;2;3;2;3;2;3;2;2;3;2;8;1;1;5;4;3;1;1;1;2;2;2;2;4;4;3;4;4;3;4;3;4;4;3;4;4;4;3;3;4;4;3;4;3;3;4;2;2;3;3;2;1;2;3;3;2;3;2;3;5;5;5;5;4;3;3;3;3;4;3;3;4;3;2;3;4;3;4;3;4;4;4;3;3;3;3;4;2;2;2;2;2;2;2;2;2;3;2;4;4;3;4;3;3;3;3;4;3;3;3;3;4;4;4;4;4;3;3;3;4;4;4;3;3;3;2;2;2;3;2;4;1;3;4;4;4;4;4;3;56;5;3;12;4;2;2;1;2;1;16;1;1;1;1;1;14;0;0;0;0;2;1;1;2;4;2;1;2;3
327;0,984;5/15/2015 23:51:36;5/16/2015 0:07:06;15;4;;1;1;5;5;6;1;1;1;2;2;2;2;2;3;5;1;4;1;6;5;5;4;1;5;1;6;5;1;3;5;1;6;1;1;3;2;2;2;2;2;4;4;2;2;2;2;2;2;2;3;3;3;3;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;2;2;3;3;2;3;2;2;3;2;8;3;1;3;1;3;2;3;4;2;2;2;1;4;4;4;4;2;2;4;4;4;4;2;3;4;4;4;4;3;3;4;4;2;2;2;5;5;5;5;5;5;5;4;3;1;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;3;4;4;1;1;3;2;1;1;1;2;2;5;2;4;4;4;4;4;3;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;1;1;2;3;2;;;;;;;;;;65;6;4;9;2;1;2;1;2;1;9;1;1;4;8;1;88;0;0;0;0;2;6;0;1;2;2;1;1;4
328;0,9893;5/15/2015 23:53:47;5/16/2015 0:08:42;14;6;;1;1;4;6;6;4;4;1;2;2;2;2;2;6;1;2;3;6;6;6;6;6;5;6;6;6;5;3;7;5;2;1;1;2;2;2;2;5;2;1;4;4;1;1;1;3;1;1;1;3;4;4;3;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;3;3;1;1;2;3;3;1;2;2;4;4;1;5;1;3;1;1;8;2;2;2;2;4;4;1;4;3;3;4;4;4;4;1;4;4;4;4;4;3;3;4;4;1;1;4;4;4;4;4;4;4;4;3;3;1;4;4;4;2;3;3;1;4;3;4;4;3;4;4;4;4;4;4;2;1;4;4;4;4;4;4;4;4;4;4;4;1;1;4;2;1;1;1;2;3;2;2;4;2;4;4;4;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;3;2;3;2;2;3;3;2;4;4;4;4;4;4;4;4;61;5;4;10;3;1;2;1;2;1;15;1;0;4;9;1;91;0;0;0;0;2;6;1;1;3;2;1;1;4
329;0,7173;5/15/2015 23:56:17;5/16/2015 0:08:41;12;10;;1;1;4;1;1;4;4;1;2;2;2;1;1;7;4;3;4;3;1;6;6;1;4;1;1;1;6;1;1;1;1;1;1;4;1;2;2;1;1;4;4;5;1;2;2;2;1;2;2;4;3;3;3;3;3;3;3;3;3;4;4;3;3;4;3;4;3;3;3;3;3;3;3;4;4;4;3;3;2;2;2;4;4;2;4;4;8;6;4;7;7;8;6;5;6;2;2;2;1;3;1;1;1;4;3;3;3;3;4;3;4;4;4;4;4;3;3;3;3;2;2;2;4;4;4;4;4;4;4;1;1;1;2;3;4;5;5;2;1;3;3;3;3;3;4;4;4;4;4;2;4;3;3;4;4;4;4;3;3;4;3;4;4;2;2;2;1;1;2;2;2;1;1;1;2;2;3;3;3;2;2;2;2;2;3;3;3;3;4;4;3;4;4;4;2;2;4;1;1;1;1;3;1;1;2;2;;;;;;;;;;56;5;3;14;4;1;2;1;2;1;10;5;1;3;5;1;57;0;0;0;0;2;1;1;1;4;2;5;1;5
330;0,5714;5/15/2015 23:57:27;5/16/2015 15:37:08;939;1;;4;7;2;2;4;2;2;1;2;2;2;1;2;7;4;6;6;6;6;6;6;6;6;3;2;6;6;1;1;4;1;3;1;2;2;2;2;2;2;2;4;4;2;3;1;1;1;2;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;2;2;3;3;3;2;4;4;6;1;6;6;3;3;2;1;6;1;2;2;1;1;1;1;1;4;3;4;4;4;4;4;3;4;4;3;4;4;3;4;4;3;3;4;4;4;2;4;4;2;3;1;1;3;1;1;1;3;4;2;2;4;4;3;3;4;4;3;4;4;4;4;4;4;4;4;1;4;4;4;2;3;4;4;4;2;2;1;3;1;3;2;3;3;3;2;4;3;4;3;4;3;1;1;4;4;4;4;4;3;4;2;2;2;2;2;2;2;2;1;2;2;4;3;1;1;1;1;;;;;;;;;;64;5;4;14;4;1;1;1;2;1;18;1;1;4;8;2;86;0;0;0;0;2;2;1;5;4;1;1;1;1
331;0,8075;5/15/2015 23:57:41;5/16/2015 0:11:10;13;2;;3;7;2;4;5;4;4;2;2;2;2;1;1;6;5;3;6;3;3;6;6;4;2;6;3;3;6;2;4;5;5;7;7;4;4;3;2;1;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;2;2;4;3;4;4;4;4;4;3;3;4;3;3;4;2;4;4;4;3;2;2;2;2;2;2;2;4;4;2;1;1;3;2;1;1;1;1;2;2;2;2;2;1;1;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;1;2;3;3;2;2;2;3;2;2;2;2;3;3;3;5;6;3;3;3;3;2;3;3;4;2;1;3;3;2;2;2;4;4;4;3;3;2;2;2;1;2;2;3;3;3;3;2;3;3;3;2;2;2;2;2;2;2;2;2;1;2;4;4;2;-1;2;2;4;4;4;4;3;4;4;2;2;2;2;2;2;2;2;-1;2;2;2;2;4;4;4;4;4;4;2;48;4;3;9;2;1;2;1;2;1;12;1;1;2;3;1;33;0;0;0;0;2;1;1;5;2;2;1;1;2
332;0,6351;5/16/2015 0:03:36;5/16/2015 0:29:52;26;2;;3;3;1;3;2;2;2;1;2;2;2;2;2;3;7;6;6;5;1;6;6;6;4;6;3;6;6;1;1;1;1;3;1;4;4;2;2;1;1;1;4;4;2;3;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;2;2;2;3;-1;2;2;3;3;2;1;1;3;2;3;1;3;4;2;2;2;2;4;1;1;1;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;1;1;3;3;3;3;3;2;2;2;2;2;2;3;4;3;2;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;2;1;1;1;1;2;2;3;1;1;1;4;4;-1;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;2;2;2;2;2;3;4;4;4;2;2;3;4;4;72;6;4;9;2;1;1;1;3;1;11;1;1;2;3;1;31;0;0;0;0;3;6;1;2;2;1;1;1;2
333;0,5714;5/16/2015 0:06:41;5/16/2015 4:18:05;251;4;;3;8;4;5;5;2;2;1;1;2;2;1;1;4;7;3;4;2;4;2;2;2;1;4;4;6;3;1;3;1;1;2;1;2;6;2;2;2;2;2;3;3;2;2;1;1;1;2;2;4;4;4;4;4;3;4;3;3;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;2;1;1;3;3;1;2;3;3;3;2;3;3;3;4;8;8;3;6;3;2;3;2;2;2;2;3;4;2;4;3;2;1;3;3;3;2;3;4;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;3;4;4;3;1;4;3;4;4;5;3;3;3;4;4;4;3;4;2;3;4;4;3;4;3;3;4;4;3;3;4;4;4;3;3;3;1;1;3;3;1;2;2;2;3;2;2;3;3;3;3;3;3;1;2;2;3;3;3;3;2;2;2;3;3;3;3;3;2;4;4;3;3;3;3;1;1;2;2;;;;;;;;;;72;6;4;13;4;1;1;1;2;1;16;1;1;4;9;1;93;0;0;0;0;2;1;1;5;4;1;1;1;4
334;1,0517;5/16/2015 0:08:31;5/16/2015 0:39:05;30;1;;3;7;1;2;6;2;2;1;2;2;2;1;2;4;7;1;6;1;6;6;6;6;1;6;6;6;6;1;1;2;3;1;1;4;3;2;2;2;2;2;4;3;2;2;2;2;2;3;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;2;2;3;3;-1;3;3;5;1;1;5;1;5;1;1;1;1;2;2;1;4;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;5;5;5;3;3;3;3;2;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;1;1;1;1;1;1;1;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;2;3;3;;;;;;;;;;72;6;4;6;1;1;1;1;4;1;12;1;1;3;7;1;73;0;0;1;1;2;5;1;5;1;1;1;1;1
335;0,7808;5/16/2015 0:10:01;5/16/2015 0:40:18;30;2;;3;3;5;2;1;3;3;2;2;2;2;1;1;7;6;6;6;5;5;5;6;5;6;6;3;6;6;5;1;6;6;6;5;3;3;1;1;1;1;1;3;2;3;3;4;4;3;3;3;1;2;2;2;2;2;1;2;2;4;3;3;4;3;4;4;4;4;3;2;4;4;4;3;1;1;1;3;3;2;2;3;3;3;2;3;3;1;5;1;1;1;1;1;5;1;2;1;2;1;2;1;1;2;4;4;1;4;3;4;2;4;2;4;4;2;2;1;1;4;1;1;4;1;1;2;2;2;2;2;3;3;2;2;3;3;4;5;4;4;4;4;3;2;2;4;2;3;3;3;3;3;4;3;4;4;4;4;2;1;4;1;1;1;2;2;2;2;2;2;2;3;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;1;1;1;2;1;3;3;2;2;2;4;4;4;4;4;2;67;6;4;9;2;1;2;1;1;2;10;2;1;1;2;1;21;0;0;0;0;1;5;1;2;2;2;2;1;2
336;1,0911;5/16/2015 0:12:26;5/16/2015 1:18:02;65;3;;2;4;5;6;7;3;3;2;2;2;2;2;2;3;7;5;6;1;6;6;6;5;1;6;6;6;6;1;1;1;7;1;2;3;8;2;2;2;2;2;4;5;2;3;2;2;2;2;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;2;4;3;4;4;4;1;2;4;3;4;1;1;1;2;2;2;4;3;2;1;1;1;3;1;3;1;1;6;2;1;2;2;3;4;2;4;3;4;4;4;4;4;2;2;4;4;2;3;3;3;3;4;3;3;3;5;5;5;5;5;5;5;3;2;2;3;3;3;4;4;4;4;2;2;2;2;2;4;2;2;2;2;1;2;2;3;2;3;3;3;3;3;4;3;3;3;2;2;2;2;2;1;2;2;2;2;1;1;4;2;2;3;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;4;3;1;1;3;2;2;2;2;2;2;4;4;4;4;4;4;4;4;72;6;4;9;2;2;1;1;2;1;8;1;1;3;6;1;63;0;0;0;0;2;5;0;3;2;1;1;2;3
337;1,2813;5/16/2015 0:12:52;5/16/2015 0:31:29;18;4;;1;2;5;2;2;2;2;1;2;2;2;1;2;3;3;3;4;3;3;6;6;6;3;2;2;6;6;1;1;3;5;4;3;3;5;5;5;2;2;2;4;4;2;3;3;3;2;2;3;3;4;4;2;3;4;3;3;4;3;4;4;4;2;3;3;3;2;3;3;4;3;4;4;4;4;4;2;4;2;3;3;3;3;2;4;4;6;1;1;6;3;3;1;1;1;2;2;2;2;4;2;2;2;4;4;4;4;4;4;2;4;4;4;4;4;3;3;4;4;2;2;4;5;5;5;5;2;5;5;2;2;2;2;3;3;4;4;4;4;4;3;3;3;3;4;3;3;4;3;4;4;4;4;4;4;4;4;2;2;2;2;3;3;3;3;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;4;3;3;3;2;3;2;2;2;2;2;2;4;4;4;4;4;4;4;3;24;1;1;10;3;1;1;1;1;1;15;5;1;3;5;2;59;0;0;0;0;1;1;1;2;3;1;5;1;4
338;0,6017;5/16/2015 0:13:38;5/16/2015 0:52:50;39;2;;4;8;3;2;4;3;2;2;2;2;2;1;2;4;4;2;4;1;-1;-1;-1;-1;1;1;2;2;4;2;3;3;2;1;1;4;4;3;5;1;2;1;4;2;3;3;2;3;-1;4;3;3;3;3;3;4;4;3;3;3;4;4;3;4;4;4;4;4;3;3;1;3;3;4;2;2;4;2;4;2;1;2;3;-1;3;1;1;1;2;1;3;3;1;3;2;1;3;2;2;2;2;2;3;2;1;4;4;2;3;3;3;2;-1;2;2;2;3;3;-1;3;4;2;2;2;2;2;4;3;2;3;5;4;2;1;2;4;3;5;5;5;5;4;4;4;4;4;4;4;2;3;3;3;4;3;4;1;4;4;4;4;3;4;2;3;4;3;3;3;1;3;3;3;4;2;2;2;1;1;1;2;2;1;3;2;3;1;1;1;1;2;1;1;1;1;-1;-1;1;1;3;3;1;1;2;1;2;1;3;2;2;4;4;1;3;4;4;4;3;76;7;4;12;4;1;2;1;2;3;8;3;1;4;9;2;91;0;0;0;0;2;5;1;5;4;2;3;1;2
339;1,2446;5/16/2015 0:14:49;5/16/2015 0:34:15;19;3;;2;4;2;3;4;3;3;1;1;2;2;1;1;2;2;6;6;4;4;4;5;5;4;6;5;6;6;1;1;2;1;4;2;3;3;2;2;2;2;2;4;4;2;3;2;2;2;2;2;3;3;3;3;3;3;3;4;4;3;4;4;4;3;4;3;4;4;3;3;4;4;3;4;3;3;3;3;4;2;2;2;3;2;2;3;4;3;2;1;3;1;3;1;1;5;1;2;2;1;3;2;2;1;4;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;4;3;3;3;4;3;3;3;2;2;2;3;2;2;5;6;3;2;4;3;3;4;4;4;4;4;4;4;4;3;2;4;4;4;4;4;3;2;3;4;4;4;1;2;1;2;1;2;2;3;2;2;1;4;3;4;4;4;3;2;2;4;3;3;4;4;4;4;4;4;4;3;4;3;3;4;3;4;3;3;3;1;1;3;2;;;;;;;;;;37;3;2;10;3;1;1;1;4;1;14;1;1;3;6;1;63;0;1;1;0;2;1;1;3;3;1;1;1;3
340;1,1074;5/16/2015 0:16:02;5/16/2015 0:26:02;10;3;;2;4;5;4;4;4;4;2;2;2;2;3;3;3;6;6;6;6;6;6;6;-1;6;6;2;5;6;1;1;1;1;1;1;2;4;1;1;1;1;1;4;4;1;1;1;1;4;4;4;2;2;2;2;3;3;3;1;1;1;4;4;4;1;4;1;2;2;2;1;1;1;1;1;4;4;4;3;3;2;2;2;2;2;3;3;3;7;7;9;3;1;1;1;1;7;2;2;2;2;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;5;5;5;5;5;5;5;4;2;3;3;2;2;1;1;1;1;4;4;1;1;4;4;3;4;2;4;2;1;3;3;4;4;4;4;4;4;1;1;1;1;3;3;3;3;3;1;1;4;5;5;5;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;4;4;4;4;4;4;4;4;4;4;4;4;24;1;1;10;3;1;2;0;6;1;17;5;1;4;9;1;91;0;0;0;0;6;4;1;3;3;2;5;1;3
341;0,7448;5/16/2015 0:18:11;5/16/2015 0:40:18;22;1;;3;4;4;2;1;3;3;1;1;2;2;1;2;5;5;4;4;6;1;6;6;3;3;6;2;6;5;1;1;-1;-1;1;1;2;2;2;2;2;2;2;3;3;2;2;2;2;1;1;3;3;4;4;3;4;3;3;2;2;4;2;4;4;3;4;3;2;4;3;3;4;4;4;1;3;2;4;3;4;1;2;4;4;2;1;4;4;2;3;5;9;4;4;1;1;4;2;2;1;2;2;1;1;1;4;4;2;2;2;4;3;4;3;4;3;3;3;4;4;3;2;2;4;5;5;5;5;5;5;5;3;4;1;4;4;4;4;4;4;4;4;4;3;2;2;4;2;4;4;4;4;4;4;4;4;4;2;2;4;2;2;2;4;3;2;2;1;1;1;1;1;2;1;1;1;1;2;2;1;4;1;1;1;2;2;2;2;2;2;4;1;1;1;1;1;2;3;2;1;1;1;3;2;2;2;4;2;2;4;4;4;3;4;4;3;3;59;5;3;12;4;1;2;1;2;3;17;1;1;1;1;1;14;0;0;0;1;1;1;1;3;4;2;1;1;1
342;0,9055;5/16/2015 0:19:34;5/16/2015 0:36:11;16;1;;3;5;2;1;4;2;2;1;2;2;2;1;2;7;2;4;4;3;4;6;6;4;2;2;4;5;6;1;1;3;1;5;1;1;4;1;1;1;1;1;4;4;2;2;2;3;2;3;3;4;4;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;2;3;3;4;4;3;4;4;4;4;3;4;2;2;2;2;2;3;3;3;4;1;3;7;5;6;3;2;5;1;2;2;1;2;1;1;1;4;4;4;4;4;4;2;4;4;4;4;4;3;3;4;4;3;4;4;5;5;4;4;4;4;4;3;4;1;4;4;4;1;1;1;1;3;3;3;4;4;4;3;4;2;4;2;3;3;4;4;4;4;4;2;1;3;2;3;2;2;1;1;1;1;1;1;2;2;2;1;3;3;4;4;4;2;3;3;3;4;4;4;4;2;3;4;4;4;2;3;3;3;4;2;4;2;4;3;1;1;2;2;;;;;;;;;;55;5;3;11;3;1;1;1;2;1;16;1;1;4;9;2;91;0;0;0;0;2;1;1;4;3;1;1;1;1
343;0,8051;5/16/2015 0:19:35;5/16/2015 0:40:50;21;1;;4;7;1;1;1;3;3;1;2;2;2;3;3;7;6;2;6;6;1;6;6;6;1;2;6;6;6;1;1;2;1;1;1;2;4;2;2;2;2;3;3;3;2;2;2;2;2;2;3;4;4;4;3;4;3;4;4;3;4;4;4;4;2;4;3;4;4;4;4;4;4;4;2;3;3;4;4;3;1;1;3;3;3;2;4;4;2;1;1;4;1;4;1;1;1;2;2;2;1;2;1;1;1;4;2;3;4;3;4;2;4;4;4;2;2;2;2;2;3;1;1;1;4;3;5;4;2;5;5;1;2;2;3;3;2;4;4;4;3;3;3;2;1;3;4;1;1;1;4;2;2;2;2;4;3;4;3;4;3;4;1;4;3;2;2;2;1;1;2;2;4;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;2;2;3;4;4;4;3;4;4;4;4;77;7;4;9;2;1;2;1;2;1;11;1;1;3;7;1;74;0;0;0;0;2;5;1;5;2;2;1;1;1
344;2,0362;5/16/2015 0:22:34;5/16/2015 1:31:58;69;2;;3;7;2;3;5;3;2;2;2;2;2;2;2;3;3;5;5;6;6;6;6;6;6;6;6;6;6;1;1;-1;1;1;1;2;8;2;2;1;2;2;4;4;2;3;2;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;2;2;2;2;3;3;2;1;1;1;1;1;1;1;1;2;2;2;2;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1;3;3;3;4;4;4;3;3;3;2;3;3;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;4;4;3;3;3;3;3;3;2;3;3;3;3;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;2;2;1;1;1;2;2;2;2;3;3;3;3;3;29;2;1;2;1;4;1;0;4;1;13;1;1;4;9;1;93;0;1;1;0;2;1;1;5;1;1;1;4;2
