RESPID;DEVICETYPE;Q1;Q2;Q3;Q4;Q5;Q6;Q9A;Q9B;Q9C;Q9D;Q9E;Q9F;Q9G;Q9H;Q9I;Q9J;Q9K;Q10A;Q10B;Q10C;Q10D;Q11A;Q11B;Q11C;Q11D;Q11E;Q11F;Q13A;Q13B;Q13C;Q13D;Q13E;Q13F;Q13G;Q14A;Q14B;Q14C;Q14D;Q14E;Q15A;Q15B;Q15C;Q15D;Q15E;Q15F;Q15G;Q15H;Q15I;Q15J;Q15K;Q15AA;Q15AB;Q15AC;Q15AD;Q15AE;Q15AF;Q15AG;Q15AH;Q15AI;Q15AJ;Q15AK;Q15AL;Q15AM;Q15AN;Q16A;Q16B;Q16C;Q16D;Q16E;Q16F;Q16G;Q16H;Q16I;Q16J;Q16K;Q16L;Q16M;Q16N;Q16O;Q16P;Q17A;Q17B;Q17C;Q17D;Q17E;Q17F;Q17G;Q17H;Q17I;Q17J;Q17K;Q17L;Q17M;Q17N;Q17O;Q17P;Q17Q;Q17R;Q18A;Q18B;Q18C;Q18D;Q18E;Q18F;Q18G;Q18H;Q19A;Q19B;Q19C;Q20A;Q20B;Q20C;Q20D;Q20E;Q22A;Q22B;Q22C;Q22D;Q22E;Q22F;Q23A;Q23B;Q23C;Q23D;Q23E;Q23H;Q23I;Q23J;Q24;Q25;Q26A;Q26B;Q26C;Q26D;Q26E;Q28A;Q28B;Q28C;Q28D;Q29;Q30;Q31;Q32;Q27A;Q27B;Q27C;Q27D;Q33A;Q33B;Q33C;Q33D;Q33G;Q21;INT5;Z8;Z8A;EDUCATION;EDUC;Z4;Z5;EMPLOY;Z9;Z9A;Z9B;NEWINCOME;VOTER;PAGEFINAL;PGENDER;PRACE;PREGION;PMSTATUS;PADULTS;PPARENT;PAGE1;PAGE2;PRELIGION;LENGTH;WEIGHT1_TRIM;I_GENDER;I_AGE;I_MARITAL;I_REGION;I_RELIGION
1056;2;1;1;2;4;4;4;6;6;3;2;2;5;6;4;2;6;1;3;1;3;2;2;2;1;1;3;2;2;5;3;3;3;3;3;3;3;2;3;4;3;3;2;3;3;3;3;3;2;2;2;3;3;2;3;2;4;4;3;4;3;2;2;2;2;4;4;2;3;3;2;3;1;1;4;1;3;1;4;3;3;3;3;2;4;2;3;2;2;4;1;2;2;2;4;2;2;3;3;5;4;4;5;4;4;5;5;3;3;3;2;2;3;2;3;4;3;3;2;2;3;1;3;2;2;3;4;2;2;2;2;3;3;2;2;2;2;2;2;2;2;1;3;1;3;3;3;3;2;2;3;3;2;2;1;2;;2;1;3;4;6;2;;;2;2;1;2;1;3;2;2;1;22;;990;31,11666667;1,7563;2;;2;3;5
1058;4;3;4;4;4;6;2;2;6;1;1;4;4;2;1;3;6;4;4;4;4;4;3;1;3;4;3;1;3;4;3;3;3;4;4;4;3;3;4;4;2;2;2;2;4;2;2;4;2;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;3;4;4;3;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;2;4;4;5;4;4;5;4;4;5;5;4;4;4;3;3;3;3;3;3;2;3;3;3;3;2;2;4;1;2;2;2;2;1;2;3;3;3;3;3;1;1;1;1;1;1;3;1;3;2;3;3;3;2;3;3;3;2;2;5;;5;3;1;;1;5;;;5;1;2;2;2;3;1;1;1;35;;990;8,216666667;0,1567;2;;1;3;5
1060;2;2;1;4;3;3;4;6;6;2;2;6;6;6;2;6;6;2;3;3;4;4;3;4;3;4;4;4;4;5;4;5;3;4;4;3;4;2;3;3;4;4;2;3;4;3;4;4;3;4;3;3;4;3;3;3;4;2;3;3;4;3;3;3;3;4;4;3;3;3;3;3;3;4;4;2;2;3;4;4;4;4;4;4;4;3;4;4;4;3;4;4;3;4;4;3;3;3;4;5;4;3;4;4;4;4;4;4;3;4;3;1;2;3;4;2;4;3;4;4;2;2;3;3;2;2;3;3;3;2;2;4;3;3;3;2;3;3;3;3;2;1;3;2;3;3;2;3;3;2;3;3;2;1;2;3;;3;2;3;1;3;6;;;6;2;3;1;1;3;3;2;2;62;;990;22,55;0,5442;1;;3;3;5
1061;4;3;8;2;3;3;2;3;1;1;6;6;6;6;2;6;6;6;3;2;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;4;3;3;3;4;4;4;3;4;4;4;4;4;3;3;4;4;4;3;4;2;4;4;4;4;3;3;3;3;3;3;4;3;3;4;4;3;4;4;4;3;4;3;4;4;3;4;4;4;4;3;4;3;3;4;3;3;4;4;4;3;3;4;3;3;2;4;3;4;4;3;3;4;3;4;2;2;2;2;3;3;2;2;2;2;2;3;3;2;2;2;3;3;3;2;2;3;3;3;3;3;2;2;2;2;1;1;3;1;1;1;1;3;2;2;4;4;3;2;1;7;;7;4;1;;1;7;;;7;1;2;2;1;3;3;2;1;43;;2;9,95;2,158;2;;3;3;2
1063;4;4;8;1;3;4;2;5;4;2;2;6;1;6;5;6;5;2;4;4;4;4;3;3;3;3;3;3;4;4;4;5;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;3;3;3;3;3;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;3;3;4;3;4;4;3;3;3;3;4;3;4;4;4;4;4;4;3;4;4;2;2;2;2;4;3;2;2;2;2;3;2;3;2;2;2;2;2;2;1;1;3;2;2;3;3;2;2;2;2;2;1;1;1;2;2;2;2;1;1;4;4;3;1;4;6;;6;4;3;1;3;7;;;7;1;4;1;2;3;3;3;2;76;;1;17,91666667;2,8242;1;;3;3;1
1068;4;4;8;2;1;1;1;4;6;4;6;5;6;6;6;6;2;2;4;3;3;4;4;3;4;4;4;4;3;3;3;4;3;4;4;3;3;3;3;2;4;3;4;3;3;3;4;4;4;4;4;2;4;3;4;4;4;3;3;1;3;4;3;3;4;4;4;3;3;3;3;4;4;4;4;2;3;3;4;4;4;4;4;3;4;3;4;3;4;3;4;3;3;3;4;2;3;4;4;4;1;4;4;4;4;3;3;1;1;1;4;3;2;3;4;2;4;4;3;3;1;1;4;3;2;3;4;3;4;2;2;4;1;4;4;4;4;4;4;4;1;1;1;1;4;4;2;4;4;4;4;4;1;1;1;3;;3;2;1;;1;8;;1;12;1;3;1;1;1;3;4;2;57;;2;19,15;0,7685;1;;3;1;2
1070;1;2;1;2;3;3;4;6;6;6;6;6;6;6;6;6;6;1;1;1;1;1;3;1;1;3;3;3;3;5;5;5;2;4;4;1;3;1;2;2;1;3;1;4;4;2;1;4;3;4;2;2;1;3;1;1;3;3;2;3;1;2;1;1;1;4;4;3;3;4;2;4;3;4;3;3;1;3;4;4;3;3;2;4;4;2;4;3;4;4;4;3;3;4;4;2;4;4;1;5;4;4;5;3;4;3;3;4;1;2;3;2;2;2;4;2;4;4;3;3;3;2;2;2;2;2;2;3;3;2;2;3;3;2;2;3;2;2;2;2;2;2;1;1;3;2;3;3;4;4;1;3;1;2;1;3;;3;2;2;;2;6;;;6;2;2;2;1;1;3;2;1;44;;1;22,2;0,9847;2;;3;1;1
1073;2;4;8;2;3;3;3;2;5;6;5;5;5;6;5;6;2;6;3;3;4;4;3;3;3;4;4;3;4;5;5;5;4;4;3;4;4;3;3;4;4;4;3;4;4;3;3;4;3;3;4;3;3;4;3;3;4;4;4;4;3;3;3;3;3;4;4;4;4;3;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;3;4;3;3;3;4;3;4;3;3;4;4;3;3;4;4;4;3;3;2;3;4;3;3;3;2;2;3;1;3;3;2;2;2;3;3;2;1;4;2;3;3;3;2;2;2;2;1;1;-1;2;3;2;2;3;1;1;4;4;4;1;2;7;;7;4;3;1;3;7;;;7;1;4;1;1;2;3;2;2;74;;24;41,46666667;0,2156;1;;3;2;1
1078;2;2;6;4;6;5;4;3;4;2;4;6;3;4;3;5;5;2;3;3;3;2;3;3;3;3;2;3;2;5;5;4;3;3;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;3;4;3;3;2;3;3;4;4;3;4;3;3;3;3;3;4;4;3;3;3;4;4;2;4;4;4;2;4;4;4;4;3;4;4;4;4;4;4;4;3;3;3;4;3;2;3;3;3;4;4;3;4;5;4;4;5;5;4;3;3;3;3;3;3;4;2;2;2;2;2;3;2;2;2;3;3;2;3;3;2;2;3;3;3;3;3;2;2;2;2;2;1;3;1;3;2;2;2;2;2;3;3;3;2;1;6;;6;4;1;;1;8;;3;14;1;2;2;6;2;3;2;1;42;;21;15,73333333;0,6554;2;;3;2;4
1080;2;3;5;2;5;6;2;6;6;1;5;6;5;5;4;6;6;3;3;3;2;3;2;2;2;2;2;1;1;3;1;1;1;3;3;3;3;2;3;3;4;4;2;4;3;3;4;4;2;2;2;1;1;1;2;1;4;4;1;4;1;2;1;1;1;4;3;3;4;4;4;4;3;3;4;4;4;3;4;4;4;3;4;3;4;3;4;4;4;4;4;3;3;3;4;3;3;4;3;4;3;4;3;4;4;3;4;3;3;3;2;3;3;2;3;3;2;1;2;2;3;2;2;2;3;2;3;3;2;2;2;4;3;2;2;2;2;2;2;2;1;2;2;1;2;3;2;2;1;1;4;4;4;1;1;5;;5;3;1;;1;7;;;7;1;2;1;1;2;3;2;1;40;;997;13,38333333;0,4811;1;;3;2;4
1081;2;3;2;4;4;6;2;2;4;2;3;3;3;3;1;3;6;1;4;4;4;4;1;1;1;4;3;1;1;4;3;5;3;4;4;4;3;4;4;4;4;1;3;1;3;4;4;4;3;1;4;3;4;3;3;3;4;4;4;4;3;3;4;4;4;4;4;1;3;3;4;3;3;4;4;3;4;3;4;4;3;3;4;3;3;3;1;3;3;3;3;3;4;3;3;3;4;4;3;4;4;4;4;4;4;4;4;4;1;4;1;1;2;1;4;4;1;1;1;4;4;1;2;3;2;1;2;1;1;2;1;3;3;3;1;1;1;1;1;1;1;1;3;1;2;3;1;2;1;1;1;4;2;2;1;4;2;4;3;1;;1;5;;;5;1;2;2;2;3;2;2;1;43;;1;29,48333333;0,4149;2;;2;3;1
1091;1;3;1;4;4;6;2;6;6;6;1;1;1;1;1;6;6;6;2;2;3;2;3;3;3;4;4;4;3;5;4;5;4;3;2;4;4;3;3;4;3;4;4;3;4;3;4;4;3;3;3;3;4;2;2;3;4;4;3;4;2;3;2;2;2;4;4;3;3;4;3;3;4;4;4;4;3;4;4;3;3;3;3;3;4;3;3;3;4;3;3;3;2;3;3;3;3;3;3;2;2;2;2;3;4;2;2;4;2;2;3;2;2;2;4;3;2;3;2;3;3;2;3;3;2;2;3;3;3;2;2;4;3;2;3;2;2;2;2;2;1;2;3;2;3;3;3;3;2;2;4;3;3;1;2;6;;6;4;1;;1;8;;1;12;1;3;1;3;4;3;1;2;64;;990;16,63333333;0,2042;1;;3;4;5
1096;4;3;5;5;6;6;2;5;5;1;1;6;6;6;1;4;1;1;2;2;4;2;2;1;1;1;1;2;4;5;5;5;3;2;2;3;4;4;4;4;2;2;2;2;2;1;1;3;1;2;2;3;2;4;4;4;4;4;4;4;3;3;4;4;2;4;4;3;3;4;3;3;4;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;2;3;2;2;3;3;3;2;3;2;3;3;3;3;2;3;3;2;2;2;2;3;3;3;2;3;2;2;2;2;1;1;1;1;3;2;3;3;2;2;3;3;3;2;2;5;;5;3;3;1;3;5;;;5;1;999;2;5;4;1;1;999;99;999;2;33,43333333;0,8604;2;;1;4;2
1100;4;3;8;4;2;2;1;1;4;1;2;1;3;4;1;2;3;1;3;3;2;2;3;3;4;4;2;2;2;5;2;1;4;4;2;3;4;4;4;4;4;4;4;3;3;3;4;4;1;2;2;2;2;1;4;3;4;4;3;4;1;1;1;1;1;4;4;4;4;4;2;4;4;3;4;2;3;2;4;4;4;2;3;2;3;2;3;4;4;4;2;4;2;1;2;2;2;3;2;4;4;4;4;4;4;4;4;4;3;4;3;2;3;2;3;3;3;3;2;3;2;2;4;1;2;1;3;3;2;2;2;3;2;2;2;3;2;2;2;2;1;1;3;1;3;2;2;2;3;2;2;3;2;1;2;2;;2;1;1;;1;3;;;3;1;2;1;1;1;6;2;2;40;;2;20,53333333;0,5283;1;;4;1;2
1105;2;1;2;4;4;4;2;3;5;1;3;6;3;3;2;4;5;4;3;3;3;3;3;3;2;3;3;3;2;1;2;2;4;4;4;3;3;2;1;3;4;3;3;4;1;4;3;4;1;3;3;3;3;3;3;3;4;4;2;4;3;2;2;2;1;4;4;1;1;2;1;2;1;3;2;3;3;2;4;3;2;3;4;4;3;3;4;3;4;3;2;3;3;3;4;2;4;4;3;4;1;4;1;4;4;1;4;4;3;4;1;1;3;1;4;3;1;3;2;3;3;1;3;3;2;3;2;1;2;2;2;4;4;2;2;2;2;2;2;2;2;2;3;1;4;1;4;2;1;1;4;4;4;2;1;5;;5;3;3;4;6;1;;;1;1;3;2;2;1;6;1;2;51;;23;23,11666667;0,4265;2;;4;1;3
1110;1;1;1;4;6;7;2;3;3;2;3;6;1;1;1;6;1;3;3;2;3;2;2;3;2;3;2;2;4;4;4;4;4;4;3;4;3;2;3;3;4;4;4;4;3;4;4;3;3;3;4;2;3;2;3;2;4;4;3;4;3;3;2;3;2;4;3;3;4;4;4;4;1;1;4;1;4;3;4;3;4;4;4;4;4;3;3;4;4;4;4;3;3;4;4;3;3;4;3;4;2;4;3;4;4;2;4;3;3;4;1;4;4;2;3;4;2;3;2;2;3;2;2;3;2;3;3;2;2;2;2;2;3;2;3;2;1;1;1;1;1;1;1;2;2;3;1;2;1;1;4;4;4;1;1;6;;6;4;3;1;3;8;;1;12;1;4;1;1;1;3;2;2;67;;2;13,88333333;0,223;1;;3;1;2
1121;2;4;6;4;2;6;2;2;5;2;5;4;3;2;4;5;6;4;1;2;2;3;1;2;2;2;2;2;2;2;4;3;2;3;3;1;2;2;2;2;1;2;2;2;1;1;2;2;2;2;1;1;2;2;2;1;1;2;3;2;1;1;1;2;2;1;3;3;4;1;1;3;1;3;3;1;3;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;4;4;5;5;3;1;4;1;2;3;1;1;1;2;1;1;3;1;2;2;1;4;1;1;1;1;1;2;1;2;2;1;2;1;2;2;1;2;2;2;2;4;1;3;2;2;1;2;2;1;2;1;3;;3;2;3;4;6;3;;;3;1;1;2;5;1;2;2;1;25;;2;7,8;0,6649;2;;2;1;2
1124;2;3;4;2;3;3;1;3;5;6;4;4;4;4;4;6;4;6;3;3;3;3;3;2;2;2;3;3;1;4;3;2;1;3;4;1;4;3;3;2;3;2;2;1;3;3;3;4;3;3;2;2;2;2;1;3;2;1;3;3;2;1;2;2;2;4;4;3;4;4;4;3;3;3;4;2;4;2;4;3;4;3;3;3;3;3;2;4;4;3;2;1;1;1;2;2;2;3;1;1;1;1;1;3;4;1;1;2;1;1;4;3;2;2;4;1;4;4;3;3;3;2;2;2;2;1;2;2;2;2;2;3;2;2;3;3;2;2;2;2;2;1;1;2;4;2;1;4;4;4;2;4;2;1;3;4;2;4;3;1;;1;6;;;6;1;2;1;1;3;3;2;1;37;;22;12,68333333;2,346;1;;3;3;3
1126;4;4;8;2;4;2;1;4;6;2;4;1;6;6;3;5;4;4;1;1;3;3;3;4;3;4;3;4;3;5;4;4;3;4;4;4;4;3;4;3;3;1;2;2;3;2;2;4;3;4;4;3;3;2;3;3;4;3;4;3;3;2;3;3;3;3;4;3;2;4;3;2;4;3;4;2;3;2;4;3;1;3;4;3;4;3;4;3;4;3;1;3;3;4;3;3;3;4;2;4;3;3;5;4;4;3;3;4;1;3;3;2;2;1;4;2;3;3;2;2;3;2;3;3;2;1;3;2;4;2;1;3;1;3;3;3;3;3;3;3;2;2;2;1;3;2;2;3;3;2;3;3;2;2;2;3;;3;2;2;;2;5;;;5;1;4;2;1;3;3;3;2;68;;2;36,86666667;1,0115;2;;3;3;2
1140;2;3;8;2;4;4;2;6;6;1;1;6;1;5;1;6;3;1;2;2;3;2;4;4;4;4;4;4;4;5;4;4;3;4;4;3;4;3;3;3;2;2;2;2;3;2;3;3;2;2;2;3;2;2;2;1;4;3;2;3;1;1;1;1;1;4;4;4;3;1;2;2;2;3;3;3;3;4;3;4;2;3;3;3;4;4;3;3;4;2;3;3;4;3;2;3;4;4;1;4;4;4;5;4;4;4;4;4;4;4;1;1;1;2;4;4;2;1;1;2;3;2;3;2;2;3;3;3;3;2;2;3;2;3;3;3;2;1;3;2;2;2;3;1;4;4;3;3;1;1;4;4;2;2;1;8;;8;4;1;;1;8;;1;12;1;3;2;4;3;3;2;2;60;;2;18,28333333;0,3967;2;;3;3;2
1143;4;2;2;4;7;7;2;4;1;1;6;6;5;6;6;6;6;1;2;1;1;1;1;1;2;1;2;1;1;1;2;1;1;4;1;3;3;3;2;2;1;4;4;3;2;2;1;1;3;3;1;2;1;2;1;1;4;4;2;4;1;3;1;2;1;4;1;1;4;4;4;4;1;4;2;4;1;3;3;3;2;3;1;1;1;1;3;2;2;1;1;1;2;2;1;2;3;3;3;4;1;4;1;4;4;1;4;1;1;4;1;4;3;1;1;4;1;1;1;1;4;2;2;1;3;1;4;1;2;2;2;3;4;2;2;2;1;1;1;1;2;2;2;2;4;1;1;3;1;1;4;4;4;3;1;6;;6;4;1;;1;6;;;6;1;1;3;5;4;1;4;2;26;;996;7,8;0,8738;;;1;4;5
1145;4;4;6;2;4;4;2;6;6;1;5;6;6;6;5;5;2;5;2;1;2;1;2;1;1;1;1;1;1;1;1;2;1;3;2;1;2;1;1;1;1;1;2;1;3;3;2;2;1;1;1;2;1;1;2;1;4;3;1;2;1;1;1;1;1;4;4;1;4;4;4;3;1;4;1;3;2;4;4;4;4;3;3;3;1;1;1;1;1;2;1;2;1;4;1;3;1;1;1;4;1;4;1;4;4;1;1;3;2;3;1;2;3;1;4;3;1;1;2;1;4;1;2;1;1;2;3;3;1;2;2;4;1;2;1;4;1;1;1;1;1;2;2;2;4;1;1;4;1;2;4;4;4;2;1;8;;8;4;1;;1;7;;;7;1;2;2;2;3;1;1;2;32;;22;9,933333333;0,1957;2;;1;3;3
