ID;QN1;QN2;QN3;QN4;QN5A;QN5B;QN5C;QN5D;QN5E;QN5F;QN5G;QN5H;QN6;QN7A;QN7B;QN7C;QN7D;QN7E;QN8;QN9;QN10;QN11;QN12;QN13A;QN13B;QN13C;QN13D;QN13E;QN14A;QN14B;QN14C;QN14D;QN15A;QN15B;QN15C;QN15D;QN15E;QN16A;QN16B;QN16C;QN16D;QN16E;QN16F;QN17A;QN17B;QN17C;QN17D;QN17E;QN17F;QN17G;QN17H;QN18;QN19;QN20;QN21A;QN21B;QN21C;QN21D;QN21E;QN21F;QN21G;QN22A;QN22B;QN22C;QN22D;QN22E;QN23A;QN23B;QN23C;QN23D;QN23E;QN23F;QN23G;QN23H;QN23I;QN23J;QN23K;QN23L;QN23M;QN23N;QN23O;QN23P;QN23Q;QN23R;QN23S;QN23T;QN23U;QN24A;QN24B;QN24C;QN24D;QN24E;QN24F;QN24G;QN24H;QN24I;QN24J;QN24K;QN24L;QN24M;QN24N;QN24O;QN24P;QN24Q;QN24R;QN24S;QN25A;QN25B;QN25C;QN25D;QN25E;QN25F;QN25G;QN26A;QN26B;QN26C;QN26D;QN26E;QN27A;QN27B;QN27C;QN27D;QN27E;QN27F;QN27G;QN27H;QN27I;QN27J;QN27K;QN27L;QN27M;QN27N;QN27O;QN27P;QN27Q;QN27R;QN28A;QN28B;QN28C;QN28D;QN28E;QN28F;QN28G;QN28H;QN29A;QN29B;QN29C;QN30A;QN30B;QN30C;QN30D;QN30E;QN30F;QN30G;QN30H;QN30I;QN31A;QN31B;QN31C;QN32A;QN32B;QN32C;QN33A;QN33B;QN33C;QN33D;QN34A;QN34B;QN34C;QN34D;QN34E;QN34F;QN34G;QN34H;QN34I;QN34J;QN34K;QN34L;QN34M;QN34N;QN34O;QN35A;QN35B;QN35C;QN35D;INCOME;STATE;METRO;REGION;DIVISION;OWNHOME;MSTATUS;EMPLOY;ADULTS;KIDS1217;KIDS611;KIDSLESS6;PARENT;AGE;AGE2;AGE3;EDUC;RACE;REGVOTE;SEX;RELIGION;DEVICE_TYPE;LENGTH;WEIGHTCV;WEIGHTNOCV;I_RELIGION;I_SEX;I_AGE;I_EDUC;I_RACE;I_MARITAL
1491;3;5;2;1;1;4;3;3;1;1;3;3;2;4;3;2;2;2;2;4;3;1;1;1;4;4;6;5;3;3;3;3;0;0;0;1;28;3;1;2;4;3;3;3;5;4;4;3;3;2;4;1;1;3;2;4;4;2;3;4;4;4;4;2;3;4;4;2;3;4;2;4;2;4;1;2;3;3;2;2;3;4;2;2;3;1;2;3;2;4;4;2;2;3;2;4;3;3;4;4;4;4;4;4;3;3;3;4;2;4;3;2;1;4;1;4;4;4;2;2;2;3;2;4;2;4;4;4;2;2;2;4;3;2;3;2;4;4;4;4;2;4;4;4;4;1;4;4;2;1;4;3;4;4;3;2;4;4;4;3;3;3;2;2;2;2;3;2;4;4;1;3;4;1;3;3;4;4;3;1;1;3;1;1;4;6;NY;1;1;2;1;6;3;1;0;0;0;2;72;;4;8;1;1;2;2;1;14,016667;0,5348;0,3554;2;2;4;4;1;2
1496;4;5;3;1;1;3;2;3;1;1;2;4;1;2;2;4;1;1;2;2;2;1;1;3;2;2;6;6;3;3;4;4;0;0;0;0;30;2;1;1;1;2;3;3;5;4;2;2;4;1;3;1;1;2;2;3;2;3;3;4;4;3;4;2;3;4;3;4;3;3;3;3;3;4;3;3;3;3;2;3;3;4;1;2;2;2;2;1;3;3;2;1;3;3;1;4;3;3;3;4;1;2;2;4;2;1;3;3;3;2;2;2;2;3;2;3;2;2;3;3;2;3;2;4;3;4;3;1;1;1;4;3;1;1;1;1;2;4;4;4;4;4;4;4;2;1;2;3;2;2;2;4;1;3;3;1;1;1;1;2;2;1;2;1;1;1;4;1;1;3;3;1;1;1;1;3;3;1;2;1;1;4;1;2;1;-1;OH;3;2;3;1;3;1;2;0;0;0;9;49;;2;6;1;1;2;5;1;19,8;0,5441;0,7659;1;2;2;3;1;3
1498;3;5;2;1;2;2;2;2;1;4;3;4;1;4;3;1;3;4;3;4;6;1;2;2;2;2;6;6;2;2;3;2;0;0;0;0;10;3;2;2;2;3;2;4;5;4;4;3;3;3;4;2;1;3;3;3;3;3;2;3;3;4;4;2;3;2;4;4;3;4;3;2;1;4;2;4;3;4;2;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;2;3;3;1;1;2;4;2;2;1;4;4;4;4;3;4;4;4;3;4;3;3;4;4;3;3;4;4;4;2;3;2;2;4;4;3;3;2;3;4;3;3;4;4;2;3;2;3;3;4;3;3;2;1;2;2;2;1;4;3;4;4;1;4;2;4;3;4;4;1;3;1;2;4;3;4;4;9;NM;1;4;8;1;3;3;2;0;0;0;2;73;;4;8;1;1;1;7;1;14,2;0,1915;0,2691;4;1;4;4;1;3
1499;1;2;3;4;;;;;1;3;4;3;3;4;4;1;3;2;4;5;6;1;2;4;4;1;2;5;3;1;3;1;5;20;2;15;5;2;1;1;2;2;2;1;1;3;3;2;4;3;1;2;2;3;2;3;2;3;2;4;4;1;2;2;2;2;2;4;4;4;4;3;3;4;3;3;3;2;4;3;3;4;4;3;2;3;4;3;4;3;4;1;4;4;3;4;4;3;4;4;3;3;4;4;3;3;4;3;3;4;2;1;2;4;2;4;3;3;2;3;3;4;3;1;2;4;1;1;3;2;3;3;2;2;4;2;4;2;3;2;2;4;3;4;2;1;4;4;4;4;4;4;4;3;4;4;4;2;2;1;3;4;1;2;2;1;4;4;4;4;1;4;3;3;4;4;3;1;2;1;4;1;4;2;3;6;CA;2;4;9;2;2;1;4;0;0;0;2;30;;2;6;2;1;2;90;2;16,7;0,3476;0,5125;5;2;2;3;2;2
1500;3;3;2;1;4;4;4;3;4;1;1;3;3;4;4;2;4;2;4;5;6;1;2;1;6;1;1;6;1;2;3;1;15;15;25;20;10;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;2;3;2;3;4;4;2;2;4;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;4;4;2;2;2;2;4;4;2;4;4;4;4;3;4;4;3;4;4;4;3;4;4;4;3;2;2;2;2;2;2;2;4;1;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;3;3;3;4;3;4;4;4;4;3;4;4;4;4;4;1;2;6;2;2;2;2;2;4;4;4;1;4;4;3;2;3;4;1;3;1;2;3;3;3;3;5;MA;2;1;1;1;1;1;1;0;0;0;2;45;;2;4;2;1;2;1;2;20,133333;0,8175;1,3247;1;2;2;2;2;1
1507;2;4;3;4;;;;;1;3;4;4;1;2;2;3;1;4;2;2;4;1;1;4;4;2;6;6;3;3;4;3;10;0;10;0;20;2;2;1;4;4;4;4;5;4;4;4;4;4;3;1;1;1;1;4;3;1;3;2;2;4;4;4;2;1;4;4;4;4;3;2;4;4;1;4;4;2;4;2;1;2;4;4;4;4;4;4;2;2;2;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;2;3;1;1;1;3;3;2;4;3;2;2;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;3;4;4;1;1;2;1;1;4;1;1;1;1;1;3;2;2;3;3;1;3;2;2;4;4;4;1;2;1;2;2;2;1;3;2;2;4;4;1;1;4;4;4;4;3;3;1;3;4;2;3;2;9;PA;3;1;2;1;1;1;1;0;0;0;2;52;;3;6;1;1;1;2;1;13,65;0,2279;0,3089;2;1;3;3;1;1
1516;4;8;2;1;3;3;2;3;1;1;2;3;1;2;2;2;2;2;2;1;1;1;1;4;2;5;2;6;3;3;3;3;0;0;0;4;20;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;2;2;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;3;4;4;3;3;4;1;1;3;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;2;2;2;4;2;2;3;2;1;4;4;2;2;1;3;2;1;1;2;4;1;4;4;1;3;1;3;1;3;4;1;3;1;1;4;2;2;3;9;NY;2;1;2;1;3;1;2;0;0;0;2;58;;3;7;1;1;2;5;1;18,1;0,547;0,3439;1;2;3;4;1;3
1531;4;8;2;1;2;2;3;2;1;1;2;3;2;3;2;3;2;2;3;2;2;2;1;3;6;2;3;5;3;2;3;2;1;5;0;5;5;3;2;2;3;3;3;2;3;3;2;3;4;3;2;2;2;3;2;3;2;2;1;4;4;2;3;3;2;2;3;4;4;3;4;4;2;4;2;3;3;3;3;2;4;4;4;3;3;3;2;3;4;4;4;2;3;4;3;4;4;4;4;4;2;3;3;4;3;3;2;2;1;1;1;2;3;3;2;3;3;2;3;4;3;4;3;4;3;4;4;2;3;3;4;3;3;3;4;3;3;2;3;2;3;3;3;3;4;3;3;3;3;2;3;4;3;3;3;3;4;4;2;3;2;3;2;1;1;2;3;1;1;3;1;3;2;2;1;3;3;1;1;1;3;4;2;3;2;6;CA;2;4;9;2;3;2;2;0;0;0;2;32;;2;7;1;1;2;5;2;19,65;0,5443;0,7556;1;2;2;4;1;3
1542;2;2;3;2;3;4;4;3;2;2;4;4;2;4;4;2;3;3;4;4;4;1;2;3;1;2;1;6;1;2;3;2;0;0;0;5;25;3;3;3;3;3;3;2;5;3;2;2;4;3;4;1;2;3;2;3;3;2;3;4;2;2;4;2;3;3;4;2;2;4;3;4;4;4;3;4;4;2;3;3;3;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;3;4;3;4;3;2;4;4;3;3;3;3;3;2;3;2;1;3;1;4;4;4;3;4;4;4;3;4;3;4;4;3;3;3;3;4;1;2;3;2;3;2;4;3;2;4;4;2;3;2;3;4;3;3;3;2;3;3;4;4;2;2;2;2;3;3;1;1;1;1;4;3;4;4;2;3;2;3;3;3;3;1;2;4;3;3;2;2;3;5;VA;3;3;5;1;5;1;1;0;0;0;2;50;;3;6;1;1;2;2;1;28,566667;0,2466;0,1939;2;2;3;3;1;2
1546;4;8;1;1;1;4;1;1;1;1;1;4;1;3;3;3;2;2;1;6;5;2;2;4;6;3;3;5;1;1;1;1;10;30;30;30;7;2;2;2;3;3;2;1;5;1;2;1;3;2;4;2;2;3;2;2;1;3;1;2;2;3;1;3;2;1;1;1;1;1;1;1;1;3;1;2;1;2;2;2;1;4;4;2;1;3;3;4;3;3;2;3;3;3;4;4;4;3;4;4;1;1;4;4;2;1;3;2;2;4;3;1;1;3;2;3;2;4;3;2;2;2;3;1;1;1;2;2;2;3;2;3;1;2;3;3;3;2;3;1;2;3;2;3;3;1;2;3;3;4;3;4;3;3;3;4;1;4;1;6;4;3;1;2;1;1;4;3;4;4;4;4;4;1;1;3;4;1;1;2;4;1;1;3;1;1;TX;5;3;7;2;1;6;1;0;0;0;2;48;;2;3;2;1;2;10;1;49,133333;2,4803;2,0042;3;2;2;1;2;1
